protocol_version,seed,N,detector,score_variant,clip,analysis_role,threshold,threshold_rank,finite_sample_alpha_supported,interior_order_statistic,recall,false_positive_rate,success,auroc,auprc,max_to_second_calibration_ratio,threshold_setter_ids,threshold_setter_count,effective_feature_dimension,mean_calibration_clipped_fraction,mean_healthy_clipped_fraction,mean_anomaly_clipped_fraction,target_weight
bounded-robust-whitening-v1.0.0,0,10,TargetOnly,CURRENT_MAHALANOBIS,none,reference,80.7373690017,100,True,False,1,0.01,True,1,1,2.01279216454,1962,1,528,0,0,0,
bounded-robust-whitening-v1.0.0,0,10,RACE,CURRENT_MAHALANOBIS,none,reference,53.8684846199,100,True,False,0.472847682119,0,False,0.977178807947,0.997008262752,1.14192663894,1775,1,542,0,0,0,0.142857142857
bounded-robust-whitening-v1.0.0,0,10,TargetOnly,ROBUST_DIAGONAL,3,primary,39.620794772,100,True,False,0.611920529801,0.03,False,0.92059602649,0.988140227537,1.02197447672,1962,1,512,0.08173828125,0.08056640625,0.202905111755,
bounded-robust-whitening-v1.0.0,0,10,TargetOnly,ROBUST_DIAGONAL,2.5,sensitivity,36.0909730161,100,True,False,0.6,0.03,False,0.915973509934,0.987486476521,1.00878705878,1962,1,512,0.1197265625,0.11615234375,0.256630277318,
bounded-robust-whitening-v1.0.0,0,10,TargetOnly,ROBUST_DIAGONAL,4,sensitivity,45.3949087645,100,True,False,0.609271523179,0.02,False,0.92638410596,0.98890897591,1.03797544616,1962,1,512,0.04134765625,0.0433984375,0.136811879139,
bounded-robust-whitening-v1.0.0,0,10,TargetOnly,BOUNDED_ROBUST_WHITENING,3,primary,24.7804554686,100,True,False,0.499337748344,0,False,0.872516556291,0.981869817918,1.00002296441,1979,1,512,0.00375,0.00466796875,0.0405060016556,1
bounded-robust-whitening-v1.0.0,0,10,TargetOnly,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,23.7431557269,100,True,False,0.521854304636,0,False,0.870357615894,0.98161310588,1.00001816433,1979,1,512,0.005703125,0.00693359375,0.0563741721854,1
bounded-robust-whitening-v1.0.0,0,10,TargetOnly,BOUNDED_ROBUST_WHITENING,4,sensitivity,26.2742473267,100,True,False,0.543046357616,0,False,0.878185430464,0.982719835589,1.00132024671,2017,1,512,0.00228515625,0.0027734375,0.0224492963576,1
bounded-robust-whitening-v1.0.0,0,10,RACE,BOUNDED_ROBUST_WHITENING,3,primary,8.09813853174,100,True,False,0.0291390728477,0,False,0.290013245033,0.844400896344,1.05043873256,1938,1,512,0.00458984375,0.0048046875,0.00325951986755,0.142857142857
bounded-robust-whitening-v1.0.0,0,10,RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,7.34613712801,100,True,False,0.0172185430464,0,False,0.287364238411,0.83669013542,1.02485057499,1938,1,512,0.00716796875,0.007265625,0.00421150662252,0.142857142857
