detector,score_variant,clip,analysis_role,N,seed_count,mean_recall,recall_ci_lower,recall_ci_upper,mean_false_positive_rate,fpr_ci_lower,fpr_ci_upper,success_rate,mean_auroc,mean_auprc,mean_max_to_second_ratio,mean_effective_feature_dimension,mean_calibration_clipped_fraction,joint_ci_success
RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,10,20,0.0412582781457,0.0284751655629,0.0544387417219,0.005,0.002,0.0085,0,0.332105298013,0.850470909901,1.03070172778,515.2,0.00474201106907,False
RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,25,20,0.109205298013,0.0949006622517,0.123443708609,0.0105,0.0045,0.0175,0,0.45588807947,0.893206320903,1.03599022425,513.55,0.00319865248012,False
RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,50,20,0.149536423841,0.125430463576,0.173246688742,0.0095,0.0045,0.015,0,0.578755629139,0.923433313714,1.03952889553,513.8,0.00201102315939,False
RACE,BOUNDED_ROBUST_WHITENING,2.5,sensitivity,100,20,0.242913907285,0.205298013245,0.276293046358,0.0115,0.006,0.018,0,0.743198675497,0.956583674249,1.03799792491,512.95,0.000885260116273,False
RACE,BOUNDED_ROBUST_WHITENING,3,primary,10,20,0.0495364238411,0.0365562913907,0.0620529801325,0.006,0.003,0.0095,0,0.324951655629,0.851313640503,1.03106672024,515.2,0.00340151030449,False
RACE,BOUNDED_ROBUST_WHITENING,3,primary,25,20,0.125165562914,0.110794701987,0.13821192053,0.0085,0.0035,0.015,0,0.448670198675,0.893298567954,1.03447451082,513.55,0.00188551334358,False
RACE,BOUNDED_ROBUST_WHITENING,3,primary,50,20,0.162251655629,0.140993377483,0.18357615894,0.012,0.0055,0.02,0,0.578168874172,0.924318284242,1.04646107745,513.8,0.000917833667947,False
RACE,BOUNDED_ROBUST_WHITENING,3,primary,100,20,0.238741721854,0.201321192053,0.272715231788,0.011,0.0055,0.0175,0,0.747425827815,0.95728609395,1.06011296055,512.95,0.000304124676307,False
RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,10,20,0.076821192053,0.0590066225166,0.0938410596026,0.0075,0.003,0.0135,0,0.321402649007,0.855300560046,1.02459737707,515.2,0.00189401978493,False
RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,25,20,0.135761589404,0.119006622517,0.150397350993,0.007,0.0015,0.014,0,0.441693377483,0.893452263338,1.04588708574,513.55,0.000716525721191,False
RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,50,20,0.165629139073,0.147483443709,0.181258278146,0.0095,0.0045,0.015,0,0.582572847682,0.926183039288,1.05127408755,513.8,0.000177173220717,False
RACE,BOUNDED_ROBUST_WHITENING,4,sensitivity,100,20,0.237417218543,0.201389072848,0.270132450331,0.009,0.004,0.015,0,0.748290066225,0.957425850697,1.07754284245,512.95,3.02239505549e-05,False
RACE,CURRENT_MAHALANOBIS,none,reference,10,20,0.516092715232,0.470594370861,0.56655794702,0.009,0.0045,0.0135,0,0.936450993377,0.990770368631,1.24677485434,542,0,False
RACE,CURRENT_MAHALANOBIS,none,reference,25,20,0.631456953642,0.524236754967,0.739806291391,0.013,0.0075,0.019,0.05,0.992185430464,0.998596559925,1.30232739325,542,0,False
RACE,CURRENT_MAHALANOBIS,none,reference,50,20,0.717152317881,0.599933774834,0.832052980132,0.015,0.01,0.02,0.1,0.993839735099,0.998843375692,1.33206532842,542,0,False
