protocol_version,seed,N,detector,condition,removed_episode_id,replacement_episode_id,split,episode_id,score,threshold,above_threshold
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,2015,33.9559286425,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1726,31.2866316548,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1961,35.3736050444,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1995,31.1323393355,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1736,33.5571876961,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1755,29.2726968127,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1806,32.3298043628,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1947,29.7922919397,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1988,31.8372115231,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1904,32.4326464954,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1895,31.6987244905,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1724,35.3932810062,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1888,32.4373926905,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1828,32.9213467484,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1906,28.9341294125,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1714,33.1238119911,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1991,30.0491156275,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1747,31.7764957273,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1813,31.6843860052,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1787,32.5851960123,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,1997,32.9909190897,12343.8282107,False
calibration-1710-intervention-v1.0.0,4,100,TargetOnly,ORIGINAL,,,calibration,2004,35.100656419,12343.8282107,False
