protocol_version,seed,N,detector,calibration_method,calibration_request,calibration_size,threshold,threshold_min,threshold_max,threshold_rank,finite_sample_alpha_supported,trimmed_count,recall,false_positive_rate,empirical_coverage,success,episode_1710_present,episode_1710_score,episode_1710_determines_any_threshold,episode_1710_threshold_fraction,episode_1710_neighbor_fraction,retained_features
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,MAX_SCORE,100,100,80.7373690017,80.7373690017,80.7373690017,100,False,0,1,0.01,0.99,True,False,,False,0,0,528
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,FINITE_SAMPLE,100,100,80.7373690017,80.7373690017,80.7373690017,100,True,0,1,0.01,0.99,True,False,,False,0,0,528
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,CONTEXT_CONDITIONAL,100,100,80.7373690017,80.7373690017,80.7373690017,100,True,0,1,0.01,0.99,True,False,,False,0,0,528
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,TRIMMED_SENSITIVITY,100,100,40.1121240553,40.1121240553,40.1121240553,99,True,1,1,0.01,0.99,True,False,,False,0,0,528
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,MAX_SCORE,all,119,8400.08385297,8400.08385297,8400.08385297,119,False,0,0.00264900662252,0,1,False,True,8400.08385297,True,1,1,528
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,FINITE_SAMPLE,all,119,8400.08385297,8400.08385297,8400.08385297,119,True,0,0.00264900662252,0,1,False,True,8400.08385297,True,1,1,528
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,CONTEXT_CONDITIONAL,all,119,8400.08385297,36.5218143659,8400.08385297,100,True,0,0.00264900662252,0,1,False,True,8400.08385297,True,0.94269005848,0.94269005848,528
calibration-tail-robustness-v1.0.0,0,10,TargetOnly,TRIMMED_SENSITIVITY,all,119,80.7373690017,80.7373690017,80.7373690017,118,True,1,1,0.01,0.99,True,True,8400.08385297,False,0,1,528
calibration-tail-robustness-v1.0.0,0,10,RACE,MAX_SCORE,100,100,53.8684846199,53.8684846199,53.8684846199,100,False,0,0.472847682119,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,10,RACE,FINITE_SAMPLE,100,100,53.8684846199,53.8684846199,53.8684846199,100,True,0,0.472847682119,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,10,RACE,CONTEXT_CONDITIONAL,100,100,53.8684846199,53.8684846199,53.8684846199,100,True,0,0.472847682119,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,10,RACE,TRIMMED_SENSITIVITY,100,100,47.1733321415,47.1733321415,47.1733321415,99,True,1,0.524503311258,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,10,RACE,MAX_SCORE,all,119,53.8684846199,53.8684846199,53.8684846199,119,False,0,0.472847682119,0,1,False,True,31.921180868,False,0,1,542
calibration-tail-robustness-v1.0.0,0,10,RACE,FINITE_SAMPLE,all,119,53.8684846199,53.8684846199,53.8684846199,119,True,0,0.472847682119,0,1,False,True,31.921180868,False,0,1,542
calibration-tail-robustness-v1.0.0,0,10,RACE,CONTEXT_CONDITIONAL,all,119,53.8684846199,53.8684846199,53.8684846199,100,True,0,0.472847682119,0,1,False,True,31.921180868,False,0,0.94269005848,542
calibration-tail-robustness-v1.0.0,0,10,RACE,TRIMMED_SENSITIVITY,all,119,47.1733321415,47.1733321415,47.1733321415,118,True,1,0.524503311258,0,1,False,True,31.921180868,False,0,1,542
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,MAX_SCORE,100,100,77.9892657633,77.9892657633,77.9892657633,100,False,0,1,0.01,0.99,True,False,,False,0,0,531
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,FINITE_SAMPLE,100,100,77.9892657633,77.9892657633,77.9892657633,100,True,0,1,0.01,0.99,True,False,,False,0,0,531
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,CONTEXT_CONDITIONAL,100,100,77.9892657633,77.9892657633,77.9892657633,100,True,0,1,0.01,0.99,True,False,,False,0,0,531
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,TRIMMED_SENSITIVITY,100,100,41.3864854025,41.3864854025,41.3864854025,99,True,1,1,0.01,0.99,True,False,,False,0,0,531
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,MAX_SCORE,all,119,11516.9117304,11516.9117304,11516.9117304,119,False,0,0.00264900662252,0,1,False,True,11516.9117304,True,1,1,531
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,FINITE_SAMPLE,all,119,11516.9117304,11516.9117304,11516.9117304,119,True,0,0.00264900662252,0,1,False,True,11516.9117304,True,1,1,531
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,CONTEXT_CONDITIONAL,all,119,11516.9117304,35.6578503425,11516.9117304,100,True,0,0.00264900662252,0,1,False,True,11516.9117304,True,0.94269005848,0.94269005848,531
calibration-tail-robustness-v1.0.0,0,25,TargetOnly,TRIMMED_SENSITIVITY,all,119,77.9892657633,77.9892657633,77.9892657633,118,True,1,1,0.01,0.99,True,True,11516.9117304,False,0,1,531
calibration-tail-robustness-v1.0.0,0,25,RACE,MAX_SCORE,100,100,54.5249929639,54.5249929639,54.5249929639,100,False,0,0.427814569536,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,25,RACE,FINITE_SAMPLE,100,100,54.5249929639,54.5249929639,54.5249929639,100,True,0,0.427814569536,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,25,RACE,CONTEXT_CONDITIONAL,100,100,54.5249929639,54.5249929639,54.5249929639,100,True,0,0.427814569536,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,25,RACE,TRIMMED_SENSITIVITY,100,100,45.0549993393,45.0549993393,45.0549993393,99,True,1,0.513907284768,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,25,RACE,MAX_SCORE,all,119,54.5249929639,54.5249929639,54.5249929639,119,False,0,0.427814569536,0,1,False,True,31.6016618403,False,0,1,542
calibration-tail-robustness-v1.0.0,0,25,RACE,FINITE_SAMPLE,all,119,54.5249929639,54.5249929639,54.5249929639,119,True,0,0.427814569536,0,1,False,True,31.6016618403,False,0,1,542
calibration-tail-robustness-v1.0.0,0,25,RACE,CONTEXT_CONDITIONAL,all,119,54.5249929639,54.5249929639,54.5249929639,100,True,0,0.427814569536,0,1,False,True,31.6016618403,False,0,0.94269005848,542
calibration-tail-robustness-v1.0.0,0,25,RACE,TRIMMED_SENSITIVITY,all,119,45.0549993393,45.0549993393,45.0549993393,118,True,1,0.513907284768,0,1,False,True,31.6016618403,False,0,1,542
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,MAX_SCORE,100,100,84.4890842171,84.4890842171,84.4890842171,100,False,0,1,0.01,0.99,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,FINITE_SAMPLE,100,100,84.4890842171,84.4890842171,84.4890842171,100,True,0,1,0.01,0.99,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,CONTEXT_CONDITIONAL,100,100,84.4890842171,84.4890842171,84.4890842171,100,True,0,1,0.01,0.99,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,TRIMMED_SENSITIVITY,100,100,38.2317182732,38.2317182732,38.2317182732,99,True,1,1,0.01,0.99,True,False,,False,0,0,532
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,MAX_SCORE,all,119,11732.6372679,11732.6372679,11732.6372679,119,False,0,0.00264900662252,0,1,False,True,11732.6372679,True,1,1,532
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,FINITE_SAMPLE,all,119,11732.6372679,11732.6372679,11732.6372679,119,True,0,0.00264900662252,0,1,False,True,11732.6372679,True,1,1,532
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,CONTEXT_CONDITIONAL,all,119,11732.6372679,36.9775013343,11732.6372679,100,True,0,0.00264900662252,0,1,False,True,11732.6372679,True,0.94269005848,0.94269005848,532
calibration-tail-robustness-v1.0.0,0,50,TargetOnly,TRIMMED_SENSITIVITY,all,119,84.4890842171,84.4890842171,84.4890842171,118,True,1,1,0.01,0.99,True,True,11732.6372679,False,0,1,532
calibration-tail-robustness-v1.0.0,0,50,RACE,MAX_SCORE,100,100,58.968150207,58.968150207,58.968150207,100,False,0,0.402649006623,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,50,RACE,FINITE_SAMPLE,100,100,58.968150207,58.968150207,58.968150207,100,True,0,0.402649006623,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,50,RACE,CONTEXT_CONDITIONAL,100,100,58.968150207,58.968150207,58.968150207,100,True,0,0.402649006623,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,50,RACE,TRIMMED_SENSITIVITY,100,100,47.9243592219,47.9243592219,47.9243592219,99,True,1,0.500662251656,0,1,False,False,,False,0,0,542
calibration-tail-robustness-v1.0.0,0,50,RACE,MAX_SCORE,all,119,58.968150207,58.968150207,58.968150207,119,False,0,0.402649006623,0,1,False,True,33.2650845838,False,0,1,542
calibration-tail-robustness-v1.0.0,0,50,RACE,FINITE_SAMPLE,all,119,58.968150207,58.968150207,58.968150207,119,True,0,0.402649006623,0,1,False,True,33.2650845838,False,0,1,542
calibration-tail-robustness-v1.0.0,0,50,RACE,CONTEXT_CONDITIONAL,all,119,58.968150207,58.968150207,58.968150207,100,True,0,0.402649006623,0,1,False,True,33.2650845838,False,0,0.94269005848,542
calibration-tail-robustness-v1.0.0,0,50,RACE,TRIMMED_SENSITIVITY,all,119,47.9243592219,47.9243592219,47.9243592219,118,True,1,0.500662251656,0,1,False,True,33.2650845838,False,0,1,542
calibration-tail-robustness-v1.0.0,0,100,TargetOnly,MAX_SCORE,100,100,81.5119052158,81.5119052158,81.5119052158,100,False,0,1,0.01,0.99,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,0,100,TargetOnly,FINITE_SAMPLE,100,100,81.5119052158,81.5119052158,81.5119052158,100,True,0,1,0.01,0.99,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,0,100,TargetOnly,CONTEXT_CONDITIONAL,100,100,81.5119052158,81.5119052158,81.5119052158,100,True,0,1,0.01,0.99,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,0,100,TargetOnly,TRIMMED_SENSITIVITY,100,100,41.1103252392,41.1103252392,41.1103252392,99,True,1,1,0.01,0.99,True,False,,False,0,0,533
calibration-tail-robustness-v1.0.0,0,100,TargetOnly,MAX_SCORE,all,119,13908.4306863,13908.4306863,13908.4306863,119,False,0,0.00264900662252,0,1,False,True,13908.4306863,True,1,1,533
