protocol_version,seed,seed_group,N,calibration_size_requested,calibration_size_actual,calibration_size_capped,method,threshold,recall,false_positive_rate,empirical_coverage,target_coverage,determines_threshold_1710,target_episode_in_calibration_pool
calibration-tail-robustness-v1.0.0,4,failed,10,100,100,False,CURRENT_MAX,380512821.318,0.0794701986755,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,10,100,100,False,TRIMMED_5PCT,76176.7500966,0.692715231788,0.05,0.95,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,10,100,100,False,TRIMMED_10PCT,66282.0180584,0.719205298013,0.11,0.9,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,10,200|all,119,False,CURRENT_MAX,380512821.318,0.0794701986755,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,10,200|all,119,False,STANDARD_CONFORMAL,380512821.318,0.0794701986755,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,10,200|all,119,False,TRIMMED_5PCT,76176.7500966,0.692715231788,0.05,0.957983193277,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,10,200|all,119,False,TRIMMED_10PCT,66282.0180584,0.719205298013,0.11,0.90756302521,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,25,100,100,False,CURRENT_MAX,30492.0395114,0.222516556291,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,25,100,100,False,TRIMMED_5PCT,29160.9640165,0.490066225166,0.04,0.95,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,25,100,100,False,TRIMMED_10PCT,21871.2039256,0.638410596026,0.08,0.9,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,25,200|all,119,False,CURRENT_MAX,30492.0395114,0.222516556291,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,25,200|all,119,False,STANDARD_CONFORMAL,30492.0395114,0.222516556291,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,25,200|all,119,False,TRIMMED_5PCT,29161.3166942,0.451655629139,0.02,0.957983193277,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,25,200|all,119,False,TRIMMED_10PCT,21871.2039256,0.638410596026,0.08,0.90756302521,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,50,100,100,False,CURRENT_MAX,20592.6967601,0.0887417218543,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,50,100,100,False,TRIMMED_5PCT,77.9775559505,1,0.02,0.95,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,50,100,100,False,TRIMMED_10PCT,35.7726067628,1,0.11,0.9,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,50,200|all,119,False,CURRENT_MAX,20592.6967601,0.0887417218543,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,50,200|all,119,False,STANDARD_CONFORMAL,20592.6967601,0.0887417218543,0,1,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,50,200|all,119,False,TRIMMED_5PCT,77.9775559505,1,0.02,0.957983193277,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,50,200|all,119,False,TRIMMED_10PCT,35.4797169288,1,0.13,0.90756302521,0.99,False,True
calibration-tail-robustness-v1.0.0,4,failed,100,100,100,False,CURRENT_MAX,12397.1058607,0.0225165562914,0,1,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,100,100,100,False,TRIMMED_5PCT,40.2807815606,1,0.05,0.95,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,100,100,100,False,TRIMMED_10PCT,38.6643728375,1,0.07,0.9,0.99,True,True
calibration-tail-robustness-v1.0.0,4,failed,100,200|all,119,False,CURRENT_MAX,12397.1058607,0.0225165562914,0,1,0.99,True,True
