detector,N,calibration_method,calibration_request,calibration_size,seed_count,mean_recall,recall_ci_lower,recall_ci_upper,mean_false_positive_rate,fpr_ci_lower,fpr_ci_upper,mean_empirical_coverage,success_rate,episode_1710_threshold_seed_rate
RACE,10,CONTEXT_CONDITIONAL,100,100,20,0.516092715232,0.470594370861,0.56655794702,0.009,0.0045,0.0135,0.991,0,0
RACE,10,CONTEXT_CONDITIONAL,all,119,20,0.519337748344,0.464701986755,0.583975165563,0.009,0.004,0.0145,0.991,0,0
RACE,10,FINITE_SAMPLE,100,100,20,0.516092715232,0.470594370861,0.56655794702,0.009,0.0045,0.0135,0.991,0,0
RACE,10,FINITE_SAMPLE,all,119,20,0.50238410596,0.460925496689,0.551193708609,0.0085,0.004,0.0135,0.9915,0,0
RACE,10,MAX_SCORE,100,100,20,0.516092715232,0.470594370861,0.56655794702,0.009,0.0045,0.0135,0.991,0,0
RACE,10,MAX_SCORE,all,119,20,0.50238410596,0.460925496689,0.551193708609,0.0085,0.004,0.0135,0.9915,0,0
RACE,10,TRIMMED_SENSITIVITY,100,100,20,0.67119205298,0.606688741722,0.734703642384,0.0235,0.016,0.0315,0.9765,0,0
RACE,10,TRIMMED_SENSITIVITY,all,119,20,0.599867549669,0.540197019868,0.662783112583,0.0165,0.01,0.024,0.9835,0,0
RACE,25,CONTEXT_CONDITIONAL,100,100,20,0.631456953642,0.524236754967,0.739806291391,0.013,0.0075,0.019,0.987,0.05,0
RACE,25,CONTEXT_CONDITIONAL,all,119,20,0.617483443709,0.509600993377,0.730599337748,0.014,0.0075,0.0215,0.986,0.05,0.05
RACE,25,FINITE_SAMPLE,100,100,20,0.631456953642,0.524236754967,0.739806291391,0.013,0.0075,0.019,0.987,0.05,0
RACE,25,FINITE_SAMPLE,all,119,20,0.602715231788,0.502448675497,0.709206953642,0.0115,0.006,0.0175,0.9885,0.05,0
RACE,25,MAX_SCORE,100,100,20,0.631456953642,0.524236754967,0.739806291391,0.013,0.0075,0.019,0.987,0.05,0
RACE,25,MAX_SCORE,all,119,20,0.602715231788,0.502448675497,0.709206953642,0.0115,0.006,0.0175,0.9885,0.05,0
RACE,25,TRIMMED_SENSITIVITY,100,100,20,0.817284768212,0.724236754967,0.905496688742,0.028,0.0195,0.037,0.972,0,0.1
RACE,25,TRIMMED_SENSITIVITY,all,119,20,0.702516556291,0.594766556291,0.811193708609,0.0215,0.0135,0.0305,0.9785,0,0.05
RACE,50,CONTEXT_CONDITIONAL,100,100,20,0.717152317881,0.599933774834,0.832052980132,0.015,0.01,0.02,0.985,0.1,0.1
RACE,50,CONTEXT_CONDITIONAL,all,119,20,0.688940397351,0.57059602649,0.80701986755,0.017,0.0105,0.0245,0.983,0.1,0.1
RACE,50,FINITE_SAMPLE,100,100,20,0.717152317881,0.599933774834,0.832052980132,0.015,0.01,0.02,0.985,0.1,0.1
RACE,50,FINITE_SAMPLE,all,119,20,0.687218543046,0.569733443709,0.804105960265,0.0135,0.0085,0.0185,0.9865,0.1,0.1
RACE,50,MAX_SCORE,100,100,20,0.717152317881,0.599933774834,0.832052980132,0.015,0.01,0.02,0.985,0.1,0.1
RACE,50,MAX_SCORE,all,119,20,0.687218543046,0.569733443709,0.804105960265,0.0135,0.0085,0.0185,0.9865,0.1,0.1
RACE,50,TRIMMED_SENSITIVITY,100,100,20,0.898874172185,0.817410596026,0.966359271523,0.027,0.0205,0.0345,0.973,0.1,0
RACE,50,TRIMMED_SENSITIVITY,all,119,20,0.785894039735,0.672314569536,0.893776490066,0.0225,0.015,0.031,0.9775,0.1,0
RACE,100,CONTEXT_CONDITIONAL,100,100,20,0.812847682119,0.705759933775,0.911655629139,0.0125,0.007,0.0185,0.9875,0.3,0.15
