detector,commissioning_size,seed,false_positive_rate,recall,success,threshold,retained_features,target_weight
TargetOnly,10,0,0.0,0.0,False,19777.895552805126,528,
SourceOnly,10,0,0.17,0.9655629139072848,False,39.118603798051595,540,
Pooled,10,0,0.01,0.5245033112582781,False,59.187671106927034,542,
RACE,10,0,0.03,0.7284768211920529,False,37.69151041975613,542,0.14285714285714285
TargetOnly,10,1,0.02,0.5774834437086093,False,16101.414958798001,529,
SourceOnly,10,1,0.05,0.9364238410596026,False,40.254469015911404,540,
Pooled,10,1,0.07,0.9986754966887417,False,34.392080324559096,542,
RACE,10,1,0.05,0.9417218543046357,False,32.264386557628605,542,0.14285714285714285
TargetOnly,10,2,0.11,1.0,False,37.900975196812055,526,
SourceOnly,10,2,0.19,0.976158940397351,False,38.46094335629077,540,
Pooled,10,2,0.0,0.543046357615894,False,56.46081246631266,542,
RACE,10,2,0.0,0.5774834437086093,False,48.028020253414596,542,0.14285714285714285
TargetOnly,10,3,0.0,0.14437086092715232,False,24792.979909439357,528,
SourceOnly,10,3,0.11,0.9655629139072848,False,39.16652654068306,540,
Pooled,10,3,0.0,0.5350993377483444,False,57.72680940752407,542,
RACE,10,3,0.04,0.7509933774834437,False,37.40365363575918,542,0.14285714285714285
TargetOnly,10,4,0.0,0.0,False,21619.43575901564,522,
SourceOnly,10,4,0.12,0.9655629139072848,False,39.240820885874165,540,
Pooled,10,4,0.01,0.5456953642384106,False,56.43843854723388,542,
RACE,10,4,0.02,0.5841059602649007,False,49.86718897459227,542,0.14285714285714285
TargetOnly,10,5,0.02,1.0,False,47.11712279180244,527,
SourceOnly,10,5,0.05,0.9311258278145695,False,40.33084436530419,540,
Pooled,10,5,0.48,1.0,False,28.668726244401103,542,
RACE,10,5,0.13,0.9245033112582781,False,33.124888824602436,542,0.14285714285714285
TargetOnly,10,6,0.52,1.0,False,42.70986133514476,526,
SourceOnly,10,6,0.2,0.9735099337748344,False,38.65502288543322,540,
Pooled,10,6,0.12,1.0,False,34.266268513455245,542,
RACE,10,6,0.11,0.7880794701986755,False,37.75153589176407,542,0.14285714285714285
TargetOnly,10,7,0.3,0.7589403973509934,False,17534.706683214303,527,
SourceOnly,10,7,0.0,0.8529801324503311,False,42.26305143881004,540,
Pooled,10,7,0.0,0.41589403973509936,False,68.50685416891322,542,
RACE,10,7,0.0,0.5695364238410596,False,44.30722806854791,542,0.14285714285714285
TargetOnly,10,8,0.0,0.0,False,24139.13250091099,527,
SourceOnly,10,8,0.0,0.49933774834437084,False,62.880289611075206,540,
Pooled,10,8,0.0,0.5761589403973509,False,58.77063628630815,542,
RACE,10,8,0.0,0.3562913907284768,False,60.09641381610903,542,0.14285714285714285
TargetOnly,10,9,0.08,1.0,False,36.906101777231854,529,
SourceOnly,10,9,0.1,0.9655629139072848,False,39.118603798051595,540,
Pooled,10,9,0.0,0.49933774834437084,False,61.80312763810776,542,
RACE,10,9,0.01,0.7019867549668874,False,38.94137636146712,542,0.14285714285714285
