detector,commissioning_size,recall_mean,recall_ci_lower,recall_ci_upper,fpr_mean,fpr_ci_lower,fpr_ci_upper,success_rate,number_of_seeds
Pooled,10,0.5918543046357616,0.5477466887417218,0.6482119205298014,0.0125,0.006500000000000001,0.019499999999999997,0.05,20
Pooled,25,0.6739735099337748,0.6020529801324503,0.7524503311258277,0.012,0.0075,0.017000000000000005,0.1,20
Pooled,50,0.743112582781457,0.6576158940397351,0.8254304635761589,0.013000000000000001,0.0075000000000000015,0.019000000000000003,0.1,20
Pooled,100,0.7986092715231787,0.7205248344370861,0.871658940397351,0.0125,0.006,0.02,0.15,20
RACE,10,0.5160927152317882,0.4703956953642383,0.5668211920529802,0.009,0.0045,0.013500000000000002,0.0,20
RACE,25,0.6314569536423841,0.5245695364238412,0.7402003311258277,0.013000000000000001,0.0075,0.019,0.05,20
RACE,50,0.7171523178807947,0.5972102649006623,0.8318576158940397,0.015000000000000003,0.01,0.02,0.1,20
RACE,100,0.8128476821192052,0.7060248344370862,0.9100662251655628,0.0125,0.007000000000000001,0.0185,0.3,20
SourceOnly,10,0.5814569536423841,0.534567880794702,0.6359619205298014,0.009,0.0045,0.014000000000000002,0.0,20
SourceOnly,25,0.5814569536423841,0.5340380794701987,0.6355645695364237,0.009,0.0045,0.014000000000000002,0.0,20
SourceOnly,50,0.5814569536423841,0.5335761589403973,0.635432119205298,0.009,0.0045,0.014000000000000002,0.0,20
SourceOnly,100,0.5814569536423841,0.5336423841059602,0.6362284768211919,0.009,0.0045,0.014000000000000002,0.0,20
TargetOnly,10,0.6040397350993377,0.46032947019867554,0.7473526490066225,0.0105,0.0055,0.0165,0.15,20
TargetOnly,25,0.7333112582781458,0.5723129139072848,0.8805298013245032,0.01,0.005999999999999999,0.014500000000000002,0.4,20
TargetOnly,50,0.8503973509933773,0.7007947019867549,1.0,0.011500000000000002,0.007000000000000001,0.016500000000000004,0.6,20
TargetOnly,100,0.8503973509933773,0.7007947019867549,1.0,0.0125,0.007000000000000001,0.018499999999999996,0.6,20
