detector,commissioning_size,recall_mean,recall_ci_lower,recall_ci_upper,fpr_mean,fpr_ci_lower,fpr_ci_upper,success_rate,number_of_seeds
Pooled,10,0.6933774834437086,0.4316225165562914,1.0,0.05600000000000001,0.0,0.3184999999999995,0.0,20
Pooled,25,0.8074172185430463,0.4714569536423841,1.0,0.0185,0.0,0.09524999999999999,0.1,20
Pooled,50,0.8023841059602649,0.4653973509933775,1.0,0.012500000000000002,0.0,0.05524999999999999,0.25,20
Pooled,100,0.6942384105960266,0.46218543046357613,0.9987417218543047,0.0045,0.0,0.025249999999999984,0.1,20
RACE,10,0.7374834437086093,0.3890066225165563,0.9930132450331126,0.0455,0.0,0.13,0.05,20
RACE,25,0.8268874172185431,0.33552980132450333,0.9986754966887417,0.0235,0.0,0.08574999999999997,0.15,20
RACE,50,0.7650993377483444,0.3191390728476821,1.0,0.016500000000000004,0.0,0.05524999999999999,0.15,20
RACE,100,0.619933774834437,0.3072847682119205,0.9974834437086093,0.0045,0.0,0.02,0.1,20
SourceOnly,10,0.8835761589403974,0.49933774834437084,0.9749006622516556,0.07950000000000002,0.0,0.19524999999999998,0.0,20
SourceOnly,25,0.7798675496688742,0.49933774834437084,0.9659602649006622,0.042,0.0,0.18299999999999983,0.0,20
SourceOnly,50,0.6988741721854305,0.49933774834437084,0.9216887417218543,0.018,0.0,0.07624999999999993,0.0,20
SourceOnly,100,0.5903973509933775,0.49933774834437084,0.8196357615894039,0.008500000000000002,0.0,0.02,0.0,20
TargetOnly,10,0.5386092715231787,0.0,1.0,0.08250000000000002,0.0,0.4154999999999997,0.0,20
TargetOnly,25,0.6501324503311258,0.0,1.0,0.061,0.0,0.19149999999999992,0.15,20
TargetOnly,50,0.9,0.0,1.0,0.015000000000000003,0.0,0.05524999999999999,0.5,20
TargetOnly,100,0.65,0.0,1.0,0.0055,0.0,0.02574999999999996,0.6,20
