detector,commissioning_size,exploratory_cluster,seed_count,mean_episode_count,mean_score,mean_median_score,mean_q90,mean_q95,mean_q99,mean_max_score,median_max_score,mean_second_max_score,mean_max_minus_second,mean_max_to_second_ratio,median_max_to_second_ratio
Pooled,10,0,20,41.2,30.7985564411,28.929646319,37.3696518935,45.7981408562,52.5677035327,55.1539165641,58.596238614,48.9555660342,6.19835052986,1.14823857757,1.06359717712
Pooled,10,1,20,32.05,31.2177012138,29.517790868,38.1666568953,44.6220459891,52.0989385704,54.2025849987,56.4430748428,46.9514724881,7.25111251057,1.19331115221,1.06216039925
Pooled,10,2,20,26.75,30.1308363006,28.7943173644,34.0273882871,39.5888500998,45.6376468308,47.2461418195,45.2905239469,40.7908661779,6.45527564162,1.18825016785,1.04833405335
Pooled,25,0,20,41.2,27.4512255253,26.4261844188,31.0585713576,34.5611768713,41.1416689831,44.7386526062,41.0511760325,36.2623163262,8.47633627997,1.24410737278,1.09209284439
Pooled,25,1,20,32.05,28.2572096193,27.2648599694,32.0227196604,35.9486804709,43.71381617,46.376527039,46.3690844104,37.6116774036,8.76484963543,1.24257069403,1.18970402029
Pooled,25,2,20,26.75,27.2818103271,26.5809385677,30.5113368882,33.2859015464,36.3066242068,37.013815168,37.0542224959,34.1682588846,2.84555628335,1.0933961433,1.02982119753
Pooled,50,0,20,41.2,25.868457308,25.2246458042,28.3909335303,30.1495347848,35.6126918478,39.0118551876,34.0920801159,30.87541772,8.13643746766,1.26306210046,1.08953295337
Pooled,50,1,20,32.05,26.7093359298,26.0407177636,29.2512936769,32.2198300629,38.9189298602,41.1357655744,39.5322395464,34.2294797812,6.90628579313,1.1979409824,1.18677143748
Pooled,50,2,20,26.75,25.8798319766,25.4487676673,28.6309810201,30.1814305176,32.4800423905,33.1157744238,33.0674913296,30.5773742979,2.5384001259,1.08751349148,1.06649703805
Pooled,100,0,20,41.2,24.8019188047,24.3893811865,26.8206697335,27.5197045382,31.9626485919,34.6393167421,29.5624478308,28.2598748969,6.37944184518,1.22267697944,1.07030543419
Pooled,100,1,20,32.05,25.5759755003,25.1201370742,27.4440752323,29.4000915131,35.8061875154,38.0926139468,36.2234489468,31.0745335449,7.01808040197,1.22115498553,1.20599060415
