detector,commissioning_size,exploratory_cluster,calibration_episode_exposures,threshold_setter_count,run_count,threshold_setter_exposure_rate,fraction_of_runs_set_by_cluster,share_of_threshold_setters
Pooled,10,0,824,7,20,0.00849514563107,0.35,0.35
Pooled,10,1,641,10,20,0.015600624025,0.5,0.5
Pooled,10,2,535,3,20,0.00560747663551,0.15,0.15
Pooled,25,0,824,7,20,0.00849514563107,0.35,0.35
Pooled,25,1,641,11,20,0.0171606864275,0.55,0.55
Pooled,25,2,535,2,20,0.00373831775701,0.1,0.1
Pooled,50,0,824,8,20,0.00970873786408,0.4,0.4
Pooled,50,1,641,9,20,0.0140405616225,0.45,0.45
Pooled,50,2,535,3,20,0.00560747663551,0.15,0.15
Pooled,100,0,824,8,20,0.00970873786408,0.4,0.4
Pooled,100,1,641,9,20,0.0140405616225,0.45,0.45
Pooled,100,2,535,3,20,0.00560747663551,0.15,0.15
RACE,10,0,824,7,20,0.00849514563107,0.35,0.35
RACE,10,1,641,11,20,0.0171606864275,0.55,0.55
RACE,10,2,535,2,20,0.00373831775701,0.1,0.1
RACE,25,0,824,8,20,0.00970873786408,0.4,0.4
RACE,25,1,641,10,20,0.015600624025,0.5,0.5
RACE,25,2,535,2,20,0.00373831775701,0.1,0.1
RACE,50,0,824,9,20,0.0109223300971,0.45,0.45
RACE,50,1,641,5,20,0.00780031201248,0.25,0.25
RACE,50,2,535,6,20,0.011214953271,0.3,0.3
RACE,100,0,824,9,20,0.0109223300971,0.45,0.45
RACE,100,1,641,4,20,0.00624024960998,0.2,0.2
RACE,100,2,535,7,20,0.0130841121495,0.35,0.35
SourceOnly,10,0,824,8,20,0.00970873786408,0.4,0.4
SourceOnly,10,1,641,9,20,0.0140405616225,0.45,0.45
SourceOnly,10,2,535,3,20,0.00560747663551,0.15,0.15
SourceOnly,25,0,824,8,20,0.00970873786408,0.4,0.4
SourceOnly,25,1,641,9,20,0.0140405616225,0.45,0.45
SourceOnly,25,2,535,3,20,0.00560747663551,0.15,0.15
SourceOnly,50,0,824,8,20,0.00970873786408,0.4,0.4
SourceOnly,50,1,641,9,20,0.0140405616225,0.45,0.45
SourceOnly,50,2,535,3,20,0.00560747663551,0.15,0.15
SourceOnly,100,0,824,8,20,0.00970873786408,0.4,0.4
SourceOnly,100,1,641,9,20,0.0140405616225,0.45,0.45
SourceOnly,100,2,535,3,20,0.00560747663551,0.15,0.15
TargetOnly,10,0,824,8,20,0.00970873786408,0.4,0.4
TargetOnly,10,1,641,3,20,0.00468018720749,0.15,0.15
TargetOnly,10,2,535,9,20,0.0168224299065,0.45,0.45
TargetOnly,25,0,824,7,20,0.00849514563107,0.35,0.35
TargetOnly,25,1,641,1,20,0.0015600624025,0.05,0.05
TargetOnly,25,2,535,12,20,0.0224299065421,0.6,0.6
TargetOnly,50,0,824,8,20,0.00970873786408,0.4,0.4
TargetOnly,50,1,641,3,20,0.00468018720749,0.15,0.15
TargetOnly,50,2,535,9,20,0.0168224299065,0.45,0.45
TargetOnly,100,0,824,10,20,0.0121359223301,0.5,0.5
TargetOnly,100,1,641,3,20,0.00468018720749,0.15,0.15
TargetOnly,100,2,535,7,20,0.0130841121495,0.35,0.35
