seed,context_type,context,p_calibration_healthy,p_evaluation_healthy,p_evaluation_anomaly,anomaly_minus_calibration,anomaly_minus_healthy_evaluation,healthy_evaluation_minus_calibration
0,exploratory_cluster,0,0.43,0.38,0.3443708609271523,-0.0856291390728477,-0.035629139072847704,-0.04999999999999999
0,exploratory_cluster,1,0.32,0.35,0.27549668874172184,-0.044503311258278166,-0.07450331125827814,0.02999999999999997
0,exploratory_cluster,2,0.25,0.27,0.3801324503311258,0.1301324503311258,0.11013245033112579,0.020000000000000018
1,exploratory_cluster,0,0.39,0.49,0.3443708609271523,-0.04562913907284771,-0.1456291390728477,0.09999999999999998
1,exploratory_cluster,1,0.39,0.24,0.27549668874172184,-0.11450331125827817,0.03549668874172185,-0.15000000000000002
1,exploratory_cluster,2,0.22,0.27,0.3801324503311258,0.1601324503311258,0.11013245033112579,0.05000000000000002
2,exploratory_cluster,0,0.4,0.4,0.3443708609271523,-0.05562913907284772,-0.05562913907284772,0.0
2,exploratory_cluster,1,0.36,0.32,0.27549668874172184,-0.08450331125827815,-0.044503311258278166,-0.03999999999999998
2,exploratory_cluster,2,0.24,0.28,0.3801324503311258,0.1401324503311258,0.10013245033112578,0.040000000000000036
3,exploratory_cluster,0,0.43,0.46,0.3443708609271523,-0.0856291390728477,-0.11562913907284772,0.030000000000000027
3,exploratory_cluster,1,0.26,0.3,0.27549668874172184,0.015496688741721831,-0.02450331125827815,0.03999999999999998
3,exploratory_cluster,2,0.31,0.24,0.3801324503311258,0.0701324503311258,0.1401324503311258,-0.07
4,exploratory_cluster,0,0.39,0.43,0.3443708609271523,-0.04562913907284771,-0.0856291390728477,0.03999999999999998
4,exploratory_cluster,1,0.36,0.33,0.27549668874172184,-0.08450331125827815,-0.054503311258278175,-0.02999999999999997
4,exploratory_cluster,2,0.25,0.24,0.3801324503311258,0.1301324503311258,0.1401324503311258,-0.010000000000000009
5,exploratory_cluster,0,0.38,0.41,0.3443708609271523,-0.035629139072847704,-0.06562913907284768,0.02999999999999997
5,exploratory_cluster,1,0.33,0.35,0.27549668874172184,-0.054503311258278175,-0.07450331125827814,0.019999999999999962
5,exploratory_cluster,2,0.29,0.24,0.3801324503311258,0.09013245033112582,0.1401324503311258,-0.04999999999999999
6,exploratory_cluster,0,0.47,0.38,0.3443708609271523,-0.12562913907284767,-0.035629139072847704,-0.08999999999999997
6,exploratory_cluster,1,0.31,0.28,0.27549668874172184,-0.03450331125827816,-0.0045033112582781865,-0.02999999999999997
6,exploratory_cluster,2,0.22,0.34,0.3801324503311258,0.1601324503311258,0.04013245033112578,0.12000000000000002
7,exploratory_cluster,0,0.44,0.38,0.3443708609271523,-0.0956291390728477,-0.035629139072847704,-0.06
7,exploratory_cluster,1,0.31,0.41,0.27549668874172184,-0.03450331125827816,-0.13450331125827814,0.09999999999999998
7,exploratory_cluster,2,0.25,0.21,0.3801324503311258,0.1301324503311258,0.1701324503311258,-0.04000000000000001
8,exploratory_cluster,0,0.43,0.38,0.3443708609271523,-0.0856291390728477,-0.035629139072847704,-0.04999999999999999
8,exploratory_cluster,1,0.28,0.35,0.27549668874172184,-0.0045033112582781865,-0.07450331125827814,0.06999999999999995
8,exploratory_cluster,2,0.29,0.27,0.3801324503311258,0.09013245033112582,0.11013245033112579,-0.019999999999999962
9,exploratory_cluster,0,0.36,0.46,0.3443708609271523,-0.015629139072847686,-0.11562913907284772,0.10000000000000003
9,exploratory_cluster,1,0.3,0.35,0.27549668874172184,-0.02450331125827815,-0.07450331125827814,0.04999999999999999
9,exploratory_cluster,2,0.34,0.19,0.3801324503311258,0.04013245033112578,0.1901324503311258,-0.15000000000000002
10,exploratory_cluster,0,0.36,0.47,0.3443708609271523,-0.015629139072847686,-0.12562913907284767,0.10999999999999999
10,exploratory_cluster,1,0.32,0.34,0.27549668874172184,-0.044503311258278166,-0.06450331125827818,0.020000000000000018
10,exploratory_cluster,2,0.32,0.19,0.3801324503311258,0.0601324503311258,0.1901324503311258,-0.13
11,exploratory_cluster,0,0.36,0.41,0.3443708609271523,-0.015629139072847686,-0.06562913907284768,0.04999999999999999
11,exploratory_cluster,1,0.34,0.32,0.27549668874172184,-0.06450331125827818,-0.044503311258278166,-0.020000000000000018
11,exploratory_cluster,2,0.3,0.27,0.3801324503311258,0.08013245033112582,0.11013245033112579,-0.02999999999999997
12,exploratory_cluster,0,0.44,0.44,0.3443708609271523,-0.0956291390728477,-0.0956291390728477,0.0
12,exploratory_cluster,1,0.29,0.3,0.27549668874172184,-0.01450331125827814,-0.02450331125827815,0.010000000000000009
12,exploratory_cluster,2,0.27,0.26,0.3801324503311258,0.11013245033112579,0.1201324503311258,-0.010000000000000009
13,exploratory_cluster,0,0.46,0.33,0.3443708609271523,-0.11562913907284772,0.014370860927152285,-0.13
13,exploratory_cluster,1,0.27,0.38,0.27549668874172184,0.005496688741721822,-0.10450331125827816,0.10999999999999999
13,exploratory_cluster,2,0.27,0.29,0.3801324503311258,0.11013245033112579,0.09013245033112582,0.019999999999999962
14,exploratory_cluster,0,0.47,0.46,0.3443708609271523,-0.12562913907284767,-0.11562913907284772,-0.009999999999999953
14,exploratory_cluster,1,0.31,0.29,0.27549668874172184,-0.03450331125827816,-0.01450331125827814,-0.020000000000000018
14,exploratory_cluster,2,0.22,0.25,0.3801324503311258,0.1601324503311258,0.1301324503311258,0.03
15,exploratory_cluster,0,0.36,0.43,0.3443708609271523,-0.015629139072847686,-0.0856291390728477,0.07
15,exploratory_cluster,1,0.36,0.35,0.27549668874172184,-0.08450331125827815,-0.07450331125827814,-0.010000000000000009
15,exploratory_cluster,2,0.28,0.22,0.3801324503311258,0.10013245033112578,0.1601324503311258,-0.060000000000000026
16,exploratory_cluster,0,0.43,0.44,0.3443708609271523,-0.0856291390728477,-0.0956291390728477,0.010000000000000009
16,exploratory_cluster,1,0.31,0.27,0.27549668874172184,-0.03450331125827816,0.005496688741721822,-0.03999999999999998
16,exploratory_cluster,2,0.26,0.29,0.3801324503311258,0.1201324503311258,0.09013245033112582,0.02999999999999997
17,exploratory_cluster,0,0.43,0.41,0.3443708609271523,-0.0856291390728477,-0.06562913907284768,-0.020000000000000018
17,exploratory_cluster,1,0.26,0.31,0.27549668874172184,0.015496688741721831,-0.03450331125827816,0.04999999999999999
17,exploratory_cluster,2,0.31,0.28,0.3801324503311258,0.0701324503311258,0.10013245033112578,-0.02999999999999997
18,exploratory_cluster,0,0.43,0.44,0.3443708609271523,-0.0856291390728477,-0.0956291390728477,0.010000000000000009
18,exploratory_cluster,1,0.37,0.28,0.27549668874172184,-0.09450331125827816,-0.0045033112582781865,-0.08999999999999997
18,exploratory_cluster,2,0.2,0.28,0.3801324503311258,0.1801324503311258,0.10013245033112578,0.08000000000000002
19,exploratory_cluster,0,0.38,0.49,0.3443708609271523,-0.035629139072847704,-0.1456291390728477,0.10999999999999999
19,exploratory_cluster,1,0.36,0.28,0.27549668874172184,-0.08450331125827815,-0.0045033112582781865,-0.07999999999999996
19,exploratory_cluster,2,0.26,0.23,0.3801324503311258,0.1201324503311258,0.1501324503311258,-0.03
