detector,commissioning_size,mean_max_to_second,median_max_to_second,mean_max_minus_second,mean_max_to_median
Pooled,10,1.099951264107439,1.026167273304646,4.789135178733507,1.9824227638213074
Pooled,25,1.1716629719403906,1.1652586512903462,7.311372101687722,1.8824571263445051
Pooled,50,1.2195717887747146,1.1606071229394752,8.33008854887296,1.800558054581856
Pooled,100,1.2212993828657983,1.1502815310879262,7.551398675249041,1.704956763274089
RACE,10,1.246774854344708,1.186693775393822,9.808125745860123,1.703692247781466
RACE,25,1.30232739325337,1.2167212643989718,10.273196242538056,1.8884401729789317
RACE,50,1.3320653284155453,1.1822777395438913,10.741188066890675,1.9027125087832615
RACE,100,1.3028820542139408,1.1379607132677545,9.619481916321778,1.775838566193149
SourceOnly,10,1.2421535201388267,1.2212422936133884,10.736373997356594,1.5471903462651053
SourceOnly,25,1.2421535201388267,1.2212422936133884,10.736373997356594,1.5471903462651053
SourceOnly,50,1.2421535201388267,1.2212422936133884,10.736373997356594,1.5471903462651053
SourceOnly,100,1.2421535201388267,1.2212422936133884,10.736373997356594,1.5471903462651053
TargetOnly,10,15.716224776844703,1.0035983652985925,862.3480560642923,396.314264306896
TargetOnly,25,13.853726916329657,1.2637043158189862,713.0729124498075,311.4593949520832
TargetOnly,50,48.186594682997146,1.7068200172374453,1714.038546611801,57.79090708677603
TargetOnly,100,53.59641731108318,1.7537058797847007,2075.110411418813,65.88129714643317
