detector,episode_id,threshold_setter_count
Pooled,1861,28
Pooled,1771,11
Pooled,1775,8
Pooled,1742,7
Pooled,1797,7
Pooled,1871,6
Pooled,1763,5
Pooled,1840,4
Pooled,1782,1
Pooled,1800,1
Pooled,1801,1
Pooled,1901,1
RACE,1861,29
RACE,1771,12
RACE,1797,9
RACE,1840,9
RACE,1710,5
RACE,1775,5
RACE,1962,4
RACE,1742,2
RACE,1763,2
RACE,1901,2
RACE,1871,1
SourceOnly,1861,32
SourceOnly,1771,12
SourceOnly,1797,12
SourceOnly,1775,8
SourceOnly,1840,8
SourceOnly,1901,4
SourceOnly,2008,4
TargetOnly,1962,21
TargetOnly,1840,13
TargetOnly,1710,12
TargetOnly,1742,5
TargetOnly,1704,4
TargetOnly,1901,3
TargetOnly,1706,2
TargetOnly,1861,2
TargetOnly,2010,2
TargetOnly,1707,1
TargetOnly,1720,1
TargetOnly,1721,1
TargetOnly,1722,1
TargetOnly,1737,1
TargetOnly,1764,1
TargetOnly,1885,1
TargetOnly,1899,1
TargetOnly,1909,1
TargetOnly,1954,1
TargetOnly,1965,1
TargetOnly,1984,1
TargetOnly,1994,1
TargetOnly,2014,1
TargetOnly,2019,1
TargetOnly,2020,1
