detector,commissioning_size,seed,reconstructed_threshold,frozen_threshold,reconstructed_fpr,frozen_fpr,reconstructed_recall,frozen_recall,reconstructed_retained_features,frozen_retained_features,reconstructed_target_weight,frozen_target_weight,passed
SourceOnly,10,0,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,10,0,80.73736900172884,80.73736900172875,0.01,0.01,1.0,1.0,528,528,,,True
Pooled,10,0,58.09883282854951,58.09883282854959,0.0,0.0,0.5350993377483444,0.5350993377483444,542,542,,,True
RACE,10,0,53.86848461985673,53.868484619856766,0.0,0.0,0.4728476821192053,0.4728476821192053,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,0,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,25,0,77.98926576334554,77.98926576334556,0.01,0.01,1.0,1.0,531,531,,,True
Pooled,25,0,56.41415922864847,56.41415922864852,0.0,0.0,0.5364238410596026,0.5364238410596026,542,542,,,True
RACE,25,0,54.52499296393688,54.5249929639368,0.0,0.0,0.4278145695364238,0.4278145695364238,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,0,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,50,0,84.48908421711731,84.48908421711728,0.01,0.01,1.0,1.0,532,532,,,True
Pooled,50,0,56.280908934268616,56.28090893426874,0.0,0.0,0.5350993377483444,0.5350993377483444,542,542,,,True
RACE,50,0,58.968150207005976,58.96815020700607,0.0,0.0,0.40264900662251657,0.4026490066225165,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,0,58.51449921287333,58.514499212873325,0.0,0.0,0.5364238410596026,0.5364238410596026,540,540,,,True
TargetOnly,100,0,81.51190521575606,81.51190521575604,0.01,0.01,1.0,1.0,533,533,,,True
Pooled,100,0,33.73018608905201,33.73018608905204,0.01,0.01,0.9973509933774835,0.9973509933774836,542,542,,,True
RACE,100,0,28.927892809695052,28.927892809695063,0.01,0.01,1.0,1.0,542,542,0.625,0.625,True
SourceOnly,10,1,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,10,1,21907.403165459964,21907.40316545999,0.01,0.01,0.5682119205298013,0.5682119205298013,529,529,,,True
Pooled,10,1,70.06045828275145,70.0604582827514,0.0,0.0,0.48079470198675495,0.4807947019867549,542,542,,,True
RACE,10,1,55.44140486144903,55.44140486144915,0.0,0.0,0.46622516556291393,0.4662251655629139,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,1,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,25,1,110.46657636534725,110.46657636534728,0.0,0.0,1.0,1.0,529,529,,,True
Pooled,25,1,58.980269167218346,58.98026916721841,0.0,0.0,0.5152317880794702,0.5152317880794702,542,542,,,True
RACE,25,1,56.912784649914755,56.91278464991478,0.0,0.0,0.4052980132450331,0.4052980132450331,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,1,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,50,1,124.33353520412513,124.3335352041251,0.0,0.0,1.0,1.0,532,532,,,True
Pooled,50,1,59.04034552608832,59.04034552608835,0.0,0.0,0.5046357615894039,0.5046357615894039,542,542,,,True
RACE,50,1,61.24433651401399,61.244336514014,0.0,0.0,0.3973509933774834,0.3973509933774834,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,1,61.968002022180706,61.96800202218071,0.01,0.01,0.5086092715231788,0.5086092715231788,540,540,,,True
TargetOnly,100,1,121.449331786729,121.44933178672908,0.0,0.0,1.0,1.0,533,533,,,True
Pooled,100,1,59.03196236897907,59.03196236897917,0.0,0.0,0.4966887417218543,0.4966887417218543,542,542,,,True
RACE,100,1,70.3697544587824,70.36975445878244,0.0,0.0,0.3841059602649007,0.3841059602649007,542,542,0.625,0.625,True
SourceOnly,10,2,51.03482439502577,51.03482439502569,0.03,0.03,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,10,2,41.72659273980858,41.72659273980856,0.04,0.04,1.0,1.0,526,526,,,True
Pooled,10,2,48.89361922869721,48.89361922869723,0.03,0.03,0.671523178807947,0.671523178807947,542,542,,,True
RACE,10,2,56.63101752159665,56.63101752159672,0.02,0.02,0.495364238410596,0.495364238410596,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,2,51.03482439502577,51.03482439502569,0.03,0.03,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,25,2,21955.162094190793,21955.1620941908,0.02,0.02,0.5536423841059602,0.5536423841059602,531,531,,,True
Pooled,25,2,47.21091203914953,47.21091203914953,0.03,0.03,0.6622516556291391,0.6622516556291391,542,542,,,True
RACE,25,2,46.21375274422592,46.21375274422592,0.03,0.03,0.5139072847682119,0.5139072847682119,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,2,51.03482439502577,51.03482439502569,0.03,0.03,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,50,2,52.66896978747002,52.66896978747005,0.03,0.03,1.0,1.0,531,531,,,True
Pooled,50,2,46.672051474827114,46.67205147482726,0.03,0.03,0.6596026490066225,0.6596026490066225,542,542,,,True
RACE,50,2,48.46493887400819,48.46493887400828,0.03,0.03,0.5099337748344371,0.5099337748344371,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,2,51.03482439502577,51.03482439502569,0.03,0.03,0.6119205298013245,0.6119205298013245,540,540,,,True
TargetOnly,100,2,47.05825962661042,47.05825962661042,0.03,0.03,1.0,1.0,532,532,,,True
Pooled,100,2,46.83239044689495,46.83239044689493,0.03,0.03,0.6423841059602649,0.6423841059602649,542,542,,,True
RACE,100,2,56.353141816085035,56.35314181608495,0.03,0.03,0.49933774834437084,0.4993377483443708,542,542,0.625,0.625,True
SourceOnly,10,3,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,10,3,21819.677200685735,21819.677200685743,0.0,0.0,0.46622516556291393,0.4662251655629139,528,528,,,True
Pooled,10,3,58.629983289546374,58.62998328954623,0.01,0.01,0.5298013245033113,0.5298013245033113,542,542,,,True
RACE,10,3,58.78795672573337,58.7879567257334,0.0,0.0,0.423841059602649,0.423841059602649,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,3,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,25,3,75.46479657928555,75.46479657928555,0.0,0.0,1.0,1.0,530,530,,,True
Pooled,25,3,38.408018642606805,38.408018642606685,0.01,0.01,0.9602649006622517,0.9602649006622516,542,542,,,True
RACE,25,3,30.61890514144953,30.618905141449535,0.0,0.0,0.9562913907284768,0.9562913907284768,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,3,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,50,3,76.54215649804942,76.54215649804945,0.0,0.0,1.0,1.0,532,532,,,True
Pooled,50,3,37.27369898404782,37.27369898404783,0.01,0.01,0.9721854304635762,0.9721854304635762,542,542,,,True
RACE,50,3,29.726302730686147,29.72630273068619,0.0,0.0,0.9960264900662251,0.9960264900662252,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,3,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,100,3,45.89544587524323,45.89544587524324,0.0,0.0,1.0,1.0,533,533,,,True
Pooled,100,3,37.07565376074965,37.07565376074966,0.0,0.0,0.9536423841059603,0.9536423841059604,542,542,,,True
RACE,100,3,30.25952845725512,30.259528457255108,0.0,0.0,0.9973509933774835,0.9973509933774836,542,542,0.625,0.625,True
SourceOnly,10,4,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,10,4,7757.186576804112,7757.1865768041425,0.0,0.0,0.0026490066225165563,0.0026490066225165,522,522,,,True
Pooled,10,4,58.562493938508936,58.5624939385089,0.01,0.01,0.5350993377483444,0.5350993377483444,542,542,,,True
RACE,10,4,67.94557152935405,67.94557152935405,0.0,0.0,0.40794701986754967,0.4079470198675496,542,542,0.14285714285714285,0.1428571428571428,True
SourceOnly,25,4,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,25,4,30071.060054414866,30071.060054414866,0.0,0.0,0.14701986754966886,0.1470198675496688,530,530,,,True
Pooled,25,4,58.115737553109085,58.115737553108886,0.01,0.01,0.5258278145695364,0.5258278145695364,542,542,,,True
RACE,25,4,56.33322998472104,56.33322998472081,0.0,0.0,0.40794701986754967,0.4079470198675496,542,542,0.29411764705882354,0.2941176470588235,True
SourceOnly,50,4,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,50,4,9665.488460471875,9665.48846047188,0.0,0.0,0.0026490066225165563,0.0026490066225165,531,531,,,True
Pooled,50,4,57.83889487509232,57.83889487509245,0.01,0.01,0.519205298013245,0.519205298013245,542,542,,,True
RACE,50,4,59.5765088605884,59.57650886058856,0.01,0.01,0.39470198675496687,0.3947019867549668,542,542,0.45454545454545453,0.4545454545454545,True
SourceOnly,100,4,62.880289611075185,62.88028961107517,0.0,0.0,0.49933774834437084,0.4993377483443708,540,540,,,True
TargetOnly,100,4,12343.828210714355,12343.828210714377,0.0,0.0,0.0026490066225165563,0.0026490066225165,534,534,,,True
