detector,commissioning_size,context_type,context,threshold_run_count,threshold_run_fraction,unique_threshold_episode_count,mean_threshold,median_threshold,mean_max_second_ratio,median_max_second_ratio,mean_max_second_gap,tied_threshold_run_count
Pooled,10,exploratory_cluster,0,7,0.35,2,58.96336849976802,58.81745140228445,1.1853602021650305,1.1940347832808937,8.665588369763322,0
Pooled,10,exploratory_cluster,1,10,0.5,5,57.934053326733974,59.47153133543938,1.0664692603934116,1.0219047390522427,3.318434956221309,0
Pooled,10,exploratory_cluster,2,3,0.15,1,53.47647759104165,57.217226985015586,1.0122704210198161,1.0132511811113076,0.6464118080379322,0
Pooled,25,exploratory_cluster,0,7,0.35,2,52.90893607455525,57.99485889367729,1.2490604491454183,1.228562251906702,10.508524223564754,0
Pooled,25,exploratory_cluster,1,11,0.55,5,50.42307736054095,48.33858499183505,1.1506576499540488,1.1605076636021048,6.487683387516887,0
Pooled,25,exploratory_cluster,2,2,0.1,1,40.08309498217571,40.08309498217571,1.0163010726476727,1.0163010726476727,0.6516276030576975,0
Pooled,50,exploratory_cluster,0,8,0.4,1,49.12185552326126,49.775446694254946,1.297629730347814,1.2072820994211078,11.077031618290818,0
Pooled,50,exploratory_cluster,1,9,0.45,5,47.06711117304995,46.672051474827114,1.2128326611267122,1.172601242909757,8.31700415854942,0
Pooled,50,exploratory_cluster,2,3,0.15,2,34.25091119478768,34.24512331385952,1.0316346608571239,1.0301666127799842,1.044160201395935,0
Pooled,100,exploratory_cluster,0,8,0.4,1,43.26172455160729,41.28950341611916,1.2367660228818078,1.1749983125915113,7.899067500079757,0
Pooled,100,exploratory_cluster,1,9,0.45,4,43.80693561135373,40.66710543419002,1.2511200479834919,1.1823826939331652,8.841352880076617,0
Pooled,100,exploratory_cluster,2,3,0.15,2,33.150774074011174,33.59842646596563,1.0905930141366926,1.0963863421992046,2.754419194551071,0
RACE,10,exploratory_cluster,0,7,0.35,1,59.21282430335346,57.37636391176093,1.3527180908821423,1.3906797932485566,14.06887797113242,0
RACE,10,exploratory_cluster,1,11,0.55,5,50.320470258091476,53.92112528855593,1.2122584854425085,1.1833200590453916,8.475313954629824,0
RACE,10,exploratory_cluster,2,2,0.1,2,37.63015098388878,37.63015098388878,1.0658135554257833,1.0658135554257833,2.2259578091737318,0
RACE,25,exploratory_cluster,0,8,0.4,2,46.51404188512404,55.51796782894347,1.3653025241052323,1.2287339458301332,12.33763992861763,0
RACE,25,exploratory_cluster,1,10,0.5,5,46.6875744155455,49.507963727322654,1.289367573834409,1.2380749215967222,10.030618623868113,0
RACE,25,exploratory_cluster,2,2,0.1,1,31.526995782075375,31.526995782075375,1.1152259669407256,1.1152259669407256,3.228309591569463,0
RACE,50,exploratory_cluster,0,9,0.45,2,43.6283799896807,33.200200459626814,1.4098663212461888,1.1651112243253625,12.77775678292703,0
RACE,50,exploratory_cluster,1,5,0.25,3,55.89850778543134,58.968150207005976,1.4898358061811208,1.3657442502478516,17.174104851798628,0
RACE,50,exploratory_cluster,2,6,0.3,3,31.523842785433164,31.591238192373883,1.083888441031601,1.056859122487018,2.3255710054128467,0
RACE,100,exploratory_cluster,0,9,0.45,2,36.93247146562919,32.891363198871204,1.2581974455042493,1.0948300432841003,7.495344911762384,0
RACE,100,exploratory_cluster,1,4,0.2,2,62.92921693657459,63.36144813743371,1.72954492096276,1.7749092465103526,24.96122433887132,0
RACE,100,exploratory_cluster,2,7,0.35,3,34.826894442042835,34.00910501738656,1.116526341555647,1.133904342337126,3.583805252155539,0
SourceOnly,10,exploratory_cluster,0,8,0.4,1,62.880289611075185,62.880289611075185,1.3150722736538474,1.3320356545710532,13.970791068222415,0
SourceOnly,10,exploratory_cluster,1,9,0.45,4,55.362960406017606,58.51449921287333,1.2426463112315362,1.214856442012375,10.793592859865893,0
SourceOnly,10,exploratory_cluster,2,3,0.15,2,43.96433569092377,43.99057039074653,1.0462251374873077,1.040875395720956,1.9396052208531647,0
SourceOnly,25,exploratory_cluster,0,8,0.4,1,62.880289611075185,62.880289611075185,1.3150722736538474,1.3320356545710532,13.970791068222415,0
SourceOnly,25,exploratory_cluster,1,9,0.45,4,55.362960406017606,58.51449921287333,1.2426463112315362,1.214856442012375,10.793592859865893,0
SourceOnly,25,exploratory_cluster,2,3,0.15,2,43.96433569092377,43.99057039074653,1.0462251374873077,1.040875395720956,1.9396052208531647,0
SourceOnly,50,exploratory_cluster,0,8,0.4,1,62.880289611075185,62.880289611075185,1.3150722736538474,1.3320356545710532,13.970791068222415,0
SourceOnly,50,exploratory_cluster,1,9,0.45,4,55.362960406017606,58.51449921287333,1.2426463112315362,1.214856442012375,10.793592859865893,0
SourceOnly,50,exploratory_cluster,2,3,0.15,2,43.96433569092377,43.99057039074653,1.0462251374873077,1.040875395720956,1.9396052208531647,0
SourceOnly,100,exploratory_cluster,0,8,0.4,1,62.880289611075185,62.880289611075185,1.3150722736538474,1.3320356545710532,13.970791068222415,0
SourceOnly,100,exploratory_cluster,1,9,0.45,4,55.362960406017606,58.51449921287333,1.2426463112315362,1.214856442012375,10.793592859865893,0
SourceOnly,100,exploratory_cluster,2,3,0.15,2,43.96433569092377,43.99057039074653,1.0462251374873077,1.040875395720956,1.9396052208531647,0
TargetOnly,10,exploratory_cluster,0,8,0.4,7,14712.196749942465,19731.05933808883,1.1999133304195486,1.0000172942919578,8.174729829120109,0
TargetOnly,10,exploratory_cluster,1,3,0.15,3,16199.775996655648,23840.531533776524,1.0130805305513617,1.0000209982097794,0.8033517599636374,0
TargetOnly,10,exploratory_cluster,2,9,0.45,5,12167.40186678712,7757.186576804112,33.520660811320404,1.1743178012656303,1908.7948030414436,0
TargetOnly,25,exploratory_cluster,0,7,0.35,2,63.13767394137145,65.47213382779077,1.5967681713010655,1.7803788178141264,23.451399008610245,0
TargetOnly,25,exploratory_cluster,1,1,0.05,1,42.538457082164754,42.538457082164754,1.248626635620792,1.248626635620792,8.470260978839207,0
TargetOnly,25,exploratory_cluster,2,12,0.6,6,15267.410443284227,20901.626384103627,22.05404454098874,1.0710370015543993,1174.0690162464196,0
TargetOnly,50,exploratory_cluster,0,8,0.4,3,64.80079878270172,64.68977402367184,1.6238358203138077,1.6891740054126416,24.030015113288734,0
TargetOnly,50,exploratory_cluster,1,3,0.15,2,43.96256249982656,45.80451858911601,1.1972764889463068,1.2263616883326316,7.54938968991523,0
TargetOnly,50,exploratory_cluster,2,9,0.45,3,3825.185922016264,124.33353520412513,105.23881973673261,3.0223786719257246,3785.0980713622175,0
TargetOnly,100,exploratory_cluster,0,10,0.5,3,54.990255701245744,43.825386785997566,1.396044846239024,1.1646521096118294,15.889885079975723,0
TargetOnly,100,exploratory_cluster,1,3,0.15,2,41.86498516363826,39.988171903460334,1.0339796122673341,1.024894371471029,1.437806110028357,0
TargetOnly,100,exploratory_cluster,2,7,0.35,2,5949.706910320675,145.3233279484847,150.69513698892447,3.370606162937176,5905.5708513209165,0
