seed,commissioning_size,detector,threshold,representative_threshold_episode_id,all_threshold_episode_ids,threshold_tie_count,max_score,second_max_score,max_second_ratio,max_second_gap,semantic_context,false_positive_rate,recall,retained_features,target_weight,exploratory_cluster
0,10,SourceOnly,58.51449921287333,1775,1775,1,58.51449921287333,51.03482439502577,1.1465602146477962,7.47967481784756,UNAVAILABLE,0.0,0.5364238410596026,540,,1
0,10,TargetOnly,80.73736900172884,1962,1962,1,80.73736900172884,40.11212405534716,2.012792164541736,40.62524494638168,UNAVAILABLE,0.01,1.0,528,,0
0,10,Pooled,58.09883282854951,1775,1775,1,58.09883282854951,48.47745516844698,1.198471178544143,9.621377660102532,UNAVAILABLE,0.0,0.5350993377483444,542,,1
0,10,RACE,53.86848461985673,1775,1775,1,53.86848461985673,47.17333214148778,1.1419266389384592,6.6951524783689464,UNAVAILABLE,0.0,0.4728476821192053,542,0.14285714285714285,1
0,25,SourceOnly,58.51449921287333,1775,1775,1,58.51449921287333,51.03482439502577,1.1465602146477962,7.47967481784756,UNAVAILABLE,0.0,0.5364238410596026,540,,1
0,25,TargetOnly,77.98926576334554,1962,1962,1,77.98926576334554,41.38648540254581,1.884413837144726,36.602780360799734,UNAVAILABLE,0.01,1.0,531,,0
0,25,Pooled,56.41415922864847,1775,1775,1,56.41415922864847,48.01494286969229,1.174929216967951,8.399216358956181,UNAVAILABLE,0.0,0.5364238410596026,542,,1
0,25,RACE,54.52499296393688,1775,1775,1,54.52499296393688,45.05499933930272,1.2101874101321588,9.469993624634164,UNAVAILABLE,0.0,0.4278145695364238,542,0.29411764705882354,1
0,50,SourceOnly,58.51449921287333,1775,1775,1,58.51449921287333,51.03482439502577,1.1465602146477962,7.47967481784756,UNAVAILABLE,0.0,0.5364238410596026,540,,1
0,50,TargetOnly,84.48908421711731,1962,1962,1,84.48908421711731,38.2317182732123,2.209921186731385,46.25736594390501,UNAVAILABLE,0.01,1.0,532,,0
0,50,Pooled,56.280908934268616,1775,1775,1,56.280908934268616,47.21499852232896,1.192013357951334,9.065910411939655,UNAVAILABLE,0.0,0.5350993377483444,542,,1
0,50,RACE,58.968150207005976,1775,1775,1,58.968150207005976,47.92435922191448,1.2304421209671903,11.043790985091498,UNAVAILABLE,0.0,0.40264900662251657,542,0.45454545454545453,1
0,100,SourceOnly,58.51449921287333,1775,1775,1,58.51449921287333,51.03482439502577,1.1465602146477962,7.47967481784756,UNAVAILABLE,0.0,0.5364238410596026,540,,1
0,100,TargetOnly,81.51190521575606,1962,1962,1,81.51190521575606,41.11032523923452,1.9827599208084938,40.40157997652154,UNAVAILABLE,0.01,1.0,533,,0
0,100,Pooled,33.73018608905201,1775,1775,1,33.73018608905201,30.827762952979306,1.0941496514197182,2.9024231360727057,UNAVAILABLE,0.01,0.9973509933774835,542,,1
0,100,RACE,28.927892809695052,1962,1962,1,28.927892809695052,27.45144813179904,1.0537838539813038,1.476444677896012,UNAVAILABLE,0.01,1.0,542,0.625,0
1,10,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,43.99057039074653,1.408665572456768,17.97743163143418,UNAVAILABLE,0.01,0.5086092715231788,540,,1
1,10,TargetOnly,21907.403165459964,1994,1994,1,21907.403165459964,21907.233516248736,1.0000077439815074,0.16964921122780652,UNAVAILABLE,0.01,0.5682119205298013,529,,0
1,10,Pooled,70.06045828275145,1742,1742,1,70.06045828275145,66.40605502825008,1.055031175288861,3.654403254501375,UNAVAILABLE,0.0,0.48079470198675495,542,,1
1,10,RACE,55.44140486144903,1771,1771,1,55.44140486144903,44.68553045255633,1.240701504490642,10.755874408892701,UNAVAILABLE,0.0,0.46622516556291393,542,0.14285714285714285,1
1,25,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,43.99057039074653,1.408665572456768,17.97743163143418,UNAVAILABLE,0.01,0.5086092715231788,540,,1
1,25,TargetOnly,110.46657636534725,1840,1840,1,110.46657636534725,60.56220324287113,1.8240184545853761,49.90437312247612,UNAVAILABLE,0.0,1.0,529,,2
1,25,Pooled,58.980269167218346,1771,1771,1,58.980269167218346,50.410071167198076,1.170009638978588,8.57019800002027,UNAVAILABLE,0.0,0.5152317880794702,542,,1
1,25,RACE,56.912784649914755,1771,1771,1,56.912784649914755,35.573960063635155,1.5998439461929017,21.3388245862796,UNAVAILABLE,0.0,0.4052980132450331,542,0.29411764705882354,1
1,50,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,43.99057039074653,1.408665572456768,17.97743163143418,UNAVAILABLE,0.01,0.5086092715231788,540,,1
1,50,TargetOnly,124.33353520412513,1840,1840,1,124.33353520412513,63.77297053826755,1.949627469987738,60.56056466585758,UNAVAILABLE,0.0,1.0,532,,2
1,50,Pooled,59.04034552608832,1771,1771,1,59.04034552608832,41.89357008502992,1.4092937270864285,17.146775441058402,UNAVAILABLE,0.0,0.5046357615894039,542,,1
1,50,RACE,61.24433651401399,1771,1771,1,61.24433651401399,34.411825296759716,1.7797468162719305,26.83251121725427,UNAVAILABLE,0.0,0.3973509933774834,542,0.45454545454545453,1
1,100,SourceOnly,61.968002022180706,1771,1771,1,61.968002022180706,43.99057039074653,1.408665572456768,17.97743163143418,UNAVAILABLE,0.01,0.5086092715231788,540,,1
1,100,TargetOnly,121.449331786729,1840,1840,1,121.449331786729,65.66615121464751,1.8494967276175382,55.78318057208149,UNAVAILABLE,0.0,1.0,533,,2
1,100,Pooled,59.03196236897907,1771,1771,1,59.03196236897907,37.17926045062818,1.5877659117875669,21.852701918350895,UNAVAILABLE,0.0,0.4966887417218543,542,,1
1,100,RACE,70.3697544587824,1771,1771,1,70.3697544587824,34.00675944525286,2.0692872713164556,36.362995013529535,UNAVAILABLE,0.0,0.3841059602649007,542,0.625,1
2,10,SourceOnly,51.03482439502577,1797,1797,1,51.03482439502577,41.57189177681542,1.2276281452144022,9.462932618210353,UNAVAILABLE,0.03,0.6119205298013245,540,,1
2,10,TargetOnly,41.72659273980858,1720,1720,1,41.72659273980858,40.15232814360766,1.039207305503443,1.5742645962009192,UNAVAILABLE,0.04,1.0,526,,1
2,10,Pooled,48.89361922869721,1742,1742,1,48.89361922869721,47.99128496372797,1.0188020442805652,0.902334264969241,UNAVAILABLE,0.03,0.671523178807947,542,,1
2,10,RACE,56.63101752159665,1797,1797,1,56.63101752159665,45.80019693650929,1.2364797819559952,10.83082058508736,UNAVAILABLE,0.02,0.495364238410596,542,0.14285714285714285,1
2,25,SourceOnly,51.03482439502577,1797,1797,1,51.03482439502577,41.57189177681542,1.2276281452144022,9.462932618210353,UNAVAILABLE,0.03,0.6119205298013245,540,,1
2,25,TargetOnly,21955.162094190793,1707,1707,1,21955.162094190793,21955.082359137123,1.0000036317355756,0.07973505367044709,UNAVAILABLE,0.02,0.5536423841059602,531,,2
2,25,Pooled,47.21091203914953,1797,1797,1,47.21091203914953,42.29242986475429,1.1162969871942545,4.918482174395237,UNAVAILABLE,0.03,0.6622516556291391,542,,1
2,25,RACE,46.21375274422592,1797,1797,1,46.21375274422592,35.555807850941314,1.2997525731370057,10.657944893284608,UNAVAILABLE,0.03,0.5139072847682119,542,0.29411764705882354,1
2,50,SourceOnly,51.03482439502577,1797,1797,1,51.03482439502577,41.57189177681542,1.2276281452144022,9.462932618210353,UNAVAILABLE,0.03,0.6119205298013245,540,,1
2,50,TargetOnly,52.66896978747002,1742,1742,1,52.66896978747002,39.304688753169124,1.340017475223572,13.364281034300895,UNAVAILABLE,0.03,1.0,531,,1
2,50,Pooled,46.672051474827114,1797,1797,1,46.672051474827114,39.80215077975914,1.172601242909757,6.869900695067976,UNAVAILABLE,0.03,0.6596026490066225,542,,1
2,50,RACE,48.46493887400819,1797,1797,1,48.46493887400819,35.48610134380057,1.3657442502478516,12.97883753020762,UNAVAILABLE,0.03,0.5099337748344371,542,0.45454545454545453,1
2,100,SourceOnly,51.03482439502577,1797,1797,1,51.03482439502577,41.57189177681542,1.2276281452144022,9.462932618210353,UNAVAILABLE,0.03,0.6119205298013245,540,,1
2,100,TargetOnly,47.05825962661042,1742,1742,1,47.05825962661042,44.05749421331453,1.0681102152284694,3.0007654132958947,UNAVAILABLE,0.03,1.0,532,,1
2,100,Pooled,46.83239044689495,1797,1797,1,46.83239044689495,36.68286686344348,1.2766829435996463,10.149523583451469,UNAVAILABLE,0.03,0.6423841059602649,542,,1
2,100,RACE,56.353141816085035,1797,1797,1,56.353141816085035,35.90802509514466,1.5693745803832828,20.445116720940376,UNAVAILABLE,0.03,0.49933774834437084,542,0.625,1
3,10,SourceOnly,62.880289611075185,1861,1861,1,62.880289611075185,42.008934249455876,1.4968313463436564,20.871355361619308,UNAVAILABLE,0.0,0.49933774834437084,540,,0
3,10,TargetOnly,21819.677200685735,1764,1764,1,21819.677200685735,21819.4454348914,1.0000106219837266,0.23176579433493316,UNAVAILABLE,0.0,0.46622516556291393,528,,0
3,10,Pooled,58.629983289546374,1861,1861,1,58.629983289546374,43.29776539575319,1.3541110667872256,15.332217893793185,UNAVAILABLE,0.01,0.5298013245033113,542,,0
3,10,RACE,58.78795672573337,1861,1861,1,58.78795672573337,36.807404511538756,1.5971774567072212,21.980552214194617,UNAVAILABLE,0.0,0.423841059602649,542,0.14285714285714285,0
