left_seed,left_N,right_seed,right_N,same_seed,same_N,top250_intersection,top250_union,top250_jaccard,top250_overlap_coefficient,variance_rank_spearman
0,10,0,25,True,False,244,256,0.953125,0.976,0.99486659005
0,10,0,50,True,False,244,256,0.953125,0.976,0.99431160023
0,10,0,100,True,False,243,257,0.945525291829,0.972,0.993557295783
0,10,3,10,False,True,242,258,0.937984496124,0.968,0.99191885135
0,10,3,25,False,False,245,255,0.960784313725,0.98,0.994072106193
0,10,3,50,False,False,244,256,0.953125,0.976,0.992785936907
0,10,3,100,False,False,242,258,0.937984496124,0.968,0.991863905273
0,10,4,10,False,True,240,260,0.923076923077,0.96,0.985647492296
0,10,4,25,False,False,239,261,0.915708812261,0.956,0.989506054117
0,10,4,50,False,False,241,259,0.930501930502,0.964,0.990660336654
0,10,4,100,False,False,241,259,0.930501930502,0.964,0.990525256428
0,10,9,10,False,True,241,259,0.930501930502,0.964,0.99316700852
0,10,9,25,False,False,241,259,0.930501930502,0.964,0.991457834677
0,10,9,50,False,False,246,254,0.968503937008,0.984,0.99148955442
0,10,9,100,False,False,245,255,0.960784313725,0.98,0.991940874428
0,10,13,10,False,True,243,257,0.945525291829,0.972,0.991099938459
0,10,13,25,False,False,245,255,0.960784313725,0.98,0.992840101053
0,10,13,50,False,False,243,257,0.945525291829,0.972,0.992264908508
0,10,13,100,False,False,242,258,0.937984496124,0.968,0.990799213652
0,10,19,10,False,True,241,259,0.930501930502,0.964,0.985200416495
0,10,19,25,False,False,242,258,0.937984496124,0.968,0.991698277709
0,10,19,50,False,False,242,258,0.937984496124,0.968,0.989901388775
0,10,19,100,False,False,245,255,0.960784313725,0.98,0.991035503524
0,25,0,50,True,False,247,253,0.97628458498,0.988,0.998352913511
0,25,0,100,True,False,246,254,0.968503937008,0.984,0.997124813138
0,25,3,10,False,False,239,261,0.915708812261,0.956,0.99074981156
0,25,3,25,False,True,244,256,0.953125,0.976,0.992957783026
0,25,3,50,False,False,245,255,0.960784313725,0.98,0.994591229584
0,25,3,100,False,False,243,257,0.945525291829,0.972,0.993570186934
0,25,4,10,False,False,242,258,0.937984496124,0.968,0.984660704015
