seed,seed_group,N,variant,split,episode_id,score,threshold,above_threshold
4,failed,10,LW_CURRENT,calibration,2015,38.6991626658,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1726,33.0251192193,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1961,37.4448532524,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1995,36.4622567442,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1736,36.4088463599,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1755,31.6523680592,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1806,35.1027187243,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1947,36.6383414798,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1988,46.5693373897,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1904,32.1687007327,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1895,34.6677303551,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1724,51.8123881344,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1888,34.4697712406,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1828,40.1382606724,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1906,35.8099888256,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1714,36.8241494891,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1991,40.4037167173,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1747,37.831285687,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1813,36.0683902999,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1787,35.5736682584,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1997,45.7639136237,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,2004,37.3401439721,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1911,40.4265567337,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1825,42.8448540054,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1854,29.7817939134,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1935,28.7427592117,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1913,40.4416384439,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1849,36.5710744669,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1897,31.5347528587,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1708,39.4229124158,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1971,37.3530851401,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1944,28.8571470797,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1745,38.3495804807,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1809,35.435083595,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1934,34.4987076683,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1875,29.9420229612,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1985,40.2769579671,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1801,35.0556473404,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1917,33.0187331721,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1769,35.7679419252,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1857,38.481115736,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1738,31.9905936916,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1734,32.9536386445,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1966,39.4082992121,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1834,32.3294372,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,2008,36.7085962212,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1831,31.8405288071,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1735,34.7022323748,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1710,7757.1865768,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1976,36.7257822226,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1837,29.4427947466,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1760,35.3410439338,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1781,29.8181419883,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1737,36.8987323203,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1728,36.7606860783,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1731,33.6012963884,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1821,33.7222189825,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1717,39.9142199989,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1711,41.1187889035,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1973,35.3609218581,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1928,36.8548924152,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1956,36.4143249697,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,2019,34.6810890543,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1797,30.443964532,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1808,29.6042887789,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1901,47.4043562424,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1943,30.2839070219,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1715,35.7459598357,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,2006,36.3140386351,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1851,32.3986267749,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1969,32.9648483241,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1996,50.3764268071,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1952,34.0426690135,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1881,30.5856027751,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1885,33.520281907,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1945,36.969588991,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,2013,34.865028937,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1926,32.8810386039,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,2021,38.4763419993,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1975,37.5830866578,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1922,33.6661105153,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1839,30.2277922814,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1763,35.0643145202,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1741,34.3363633188,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1742,56.6465805512,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1750,34.5080333985,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1893,33.5418184762,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1989,44.6998068945,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1937,35.7193538233,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1822,40.7026591379,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1743,32.616952718,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1958,37.0991865033,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1929,34.1431615745,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1848,32.0277598962,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1800,35.8735115852,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1773,34.5294856328,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1955,31.2508687675,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1847,38.0085265527,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1804,33.9724195442,7757.1865768,False
4,failed,10,LW_CURRENT,calibration,1861,33.9371693048,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1791,33.0996918776,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1761,34.6535583679,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1772,32.0262704383,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1942,33.0017738669,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1853,35.0592853311,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1896,39.0811649912,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1990,40.3603011047,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1946,32.9022463121,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1939,24.4888105295,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1921,30.1482995175,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1764,35.7806473953,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1932,37.9482106317,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1815,31.9806571949,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1872,36.365199035,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1883,39.859880202,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1729,29.9929758703,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1862,32.4764041978,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1836,37.7144202377,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1860,30.7661395481,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1778,29.0976742354,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1811,29.0418100882,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1994,35.0148372342,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,2017,46.3742533254,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,2018,33.040484197,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1752,43.0603600888,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1899,39.290261079,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1933,32.7249476393,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1977,43.1150627738,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1919,39.5949300944,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1795,29.2686858988,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1803,28.5228082482,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,2011,44.5754784552,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1905,28.6260797861,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1774,35.2256295522,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1979,42.5105065478,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1746,37.1099517586,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1820,32.5222725988,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1856,33.9024336357,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1964,39.0235275075,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1790,31.2404808223,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1722,42.9788405424,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,2009,37.5825968192,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1843,35.7000693635,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1818,29.3707654707,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1756,30.8900814622,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1874,33.735098488,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1870,31.2495140336,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1762,41.4401241691,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1824,33.1555379627,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1835,31.6320231119,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1703,41.0602636194,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1960,35.9008612866,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1713,38.0651421313,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1705,37.6262608136,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1759,35.1693805567,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1954,39.2365861372,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1793,36.7413977927,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1869,31.8725629264,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1753,35.5587304061,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1819,34.9013137859,7757.1865768,False
4,failed,10,LW_CURRENT,healthy_evaluation,1823,32.4101878135,7757.1865768,False
