seed,N,detector,condition,removed_episode_id,replacement_episode_id,threshold,recall,FPR,success,retained_features,target_weight,original_recall,original_FPR,recall_delta,FPR_delta,protocol_version
4,100,RACE,ABLATE_SUSPECT,1840,1987,38.7806675813,0.843708609272,0,False,542,0.625,0.809271523179,0,0.0344370860927,0,outlier-ablation-v1.1.0-coldstart-api
4,100,RACE,ORIGINAL,,,37.8929330203,0.809271523179,0,False,542,0.625,0.809271523179,0,0,0,outlier-ablation-v1.1.0-coldstart-api
4,100,RACE,RANDOM_CONTROL,1709,1799,37.9681968488,0.811920529801,0,False,542,0.625,0.809271523179,0,0.00264900662252,0,outlier-ablation-v1.1.0-coldstart-api
4,100,TargetOnly,ABLATE_SUSPECT,1840,1987,12890.9453787,0.00264900662252,0,False,534,,0.00264900662252,0,0,0,outlier-ablation-v1.1.0-coldstart-api
4,100,TargetOnly,ORIGINAL,,,12343.8282107,0.00264900662252,0,False,534,,0.00264900662252,0,0,0,outlier-ablation-v1.1.0-coldstart-api
4,100,TargetOnly,RANDOM_CONTROL,1709,1799,12415.2901209,0.00264900662252,0,False,534,,0.00264900662252,0,0,0,outlier-ablation-v1.1.0-coldstart-api
19,100,RACE,ABLATE_SUSPECT,1962,1736,38.749218434,0.780132450331,0,False,542,0.625,0.777483443709,0,0.00264900662252,0,outlier-ablation-v1.1.0-coldstart-api
19,100,RACE,ORIGINAL,,,38.5070028574,0.777483443709,0,False,542,0.625,0.777483443709,0,0,0,outlier-ablation-v1.1.0-coldstart-api
19,100,RACE,RANDOM_CONTROL,1728,1840,37.5704239189,0.754966887417,0,False,542,0.625,0.777483443709,0,-0.0225165562914,0,outlier-ablation-v1.1.0-coldstart-api
19,100,TargetOnly,ABLATE_SUSPECT,1962,1736,15285.9316271,0.00264900662252,0,False,535,,0.00264900662252,0,0,0,outlier-ablation-v1.1.0-coldstart-api
19,100,TargetOnly,ORIGINAL,,,14216.440258,0.00264900662252,0,False,535,,0.00264900662252,0,0,0,outlier-ablation-v1.1.0-coldstart-api
19,100,TargetOnly,RANDOM_CONTROL,1728,1840,13629.6623482,0.00264900662252,0,False,535,,0.00264900662252,0,0,0,outlier-ablation-v1.1.0-coldstart-api
