variant,N,mean_recall,recall_ci_low,recall_ci_high,mean_FPR,FPR_ci_low,FPR_ci_high,success_rate,median_threshold,median_retained_features,median_covariance_condition
TOPVAR_250_LW,10,0.7220529801324503,0.6352980132450332,0.7959619205298013,0.012000000000000002,0.006500000000000001,0.0185,0.0,31.603797069412146,250.0,65.50928677621496
DIAGONAL,10,0.6258940397350994,0.48119205298013246,0.7659635761589404,0.0115,0.006,0.017500000000000005,0.15,12908.559022808036,528.0,
LW_CURRENT,10,0.6040397350993377,0.4568824503311258,0.7507350993377483,0.0105,0.005,0.0165,0.15,17794.892098352655,528.0,123.38078964206505
TOPVAR_100_LW,10,0.5703973509933775,0.47814403973509934,0.6529155629139073,0.013000000000000001,0.007000000000000001,0.0195,0.0,19.732319195847538,100.0,24.779426272818906
TOPVAR_50_LW,10,0.34397350993377485,0.2611258278145695,0.4262930463576159,0.014000000000000002,0.0075,0.0215,0.0,13.793338937414045,50.0,9.113838489325989
PCA_95_LW,10,0.29119205298013245,0.19681953642384106,0.3976192052980132,0.015,0.006500000000000001,0.026512499999999824,0.0,203.04556359705342,8.0,1.0
PCA_10_LW,10,0.28629139072847687,0.19357450331125825,0.39450331125827814,0.011500000000000002,0.004999999999999999,0.0205,0.0,233.9089464614496,10.0,1.0
PCA_25_LW,10,0.28629139072847687,0.19496523178807948,0.3990745033112583,0.011500000000000002,0.005,0.0205,0.0,233.9089464614496,10.0,1.0
PCA_50_LW,10,0.28629139072847687,0.1954950331125828,0.39424337748344357,0.011500000000000002,0.004999999999999999,0.0205,0.0,233.9089464614496,10.0,1.0
PCA_99_LW,10,0.281523178807947,0.18807781456953643,0.38874172185430467,0.012,0.0055,0.021,0.0,220.35794522920068,9.0,1.0
TOPVAR_250_LW,25,0.7751655629139073,0.6722516556291389,0.8665596026490067,0.010499999999999999,0.006500000000000001,0.015000000000000003,0.1,28.60795125335583,250.0,117.92883204975269
DIAGONAL,25,0.7623178807947021,0.6107930463576158,0.8974834437086093,0.01,0.005999999999999999,0.014500000000000002,0.4,87.17731967241787,531.0,
LW_CURRENT,25,0.7333112582781458,0.5689354304635762,0.8796688741721855,0.01,0.006,0.014500000000000002,0.4,107.37856882885133,531.0,213.33967460581837
TOPVAR_100_LW,25,0.6388741721854305,0.5543013245033114,0.7094056291390728,0.009500000000000001,0.0055,0.014000000000000002,0.0,16.86507816721529,100.0,41.679885168620885
PCA_25_LW,25,0.5205960264900662,0.3627798013245033,0.6816556291390727,0.010500000000000002,0.006,0.0155,0.1,12.092443598395572,25.0,4.767263413752221
PCA_50_LW,25,0.5205960264900662,0.36065728476821196,0.6806059602649006,0.010500000000000002,0.006,0.015500000000000003,0.1,12.092443598395572,25.0,4.767263413752221
PCA_99_LW,25,0.5173509933774835,0.3602632450331126,0.6807317880794701,0.010500000000000002,0.006,0.015500000000000003,0.1,11.922790720056646,24.0,3.817749515853743
PCA_95_LW,25,0.49284768211920527,0.33814569536423844,0.6558278145695363,0.010000000000000002,0.006,0.014500000000000002,0.1,11.191664950072788,20.0,3.514825850249667
TOPVAR_50_LW,25,0.44966887417218543,0.3551622516556292,0.5354304635761589,0.013000000000000001,0.008,0.018500000000000003,0.0,10.94862165938821,50.0,14.37322755561582
PCA_10_LW,25,0.3428476821192053,0.23523178807947023,0.46185430463576155,0.009500000000000001,0.0045000000000000005,0.015,0.0,8.858896958562266,10.0,2.944268744293778
