column,dtype,row_count,missing_count,missing_fraction,finite_count,minimum,maximum,mean,std,unique_count_exact,unique_count_truncated,is_constant,preview_json,top_values_json
output_bit_register_64,uint8,6249074,0,0.0,6249074,0.0,1.0,0.008194974167372637,0.09015440402869253,2.0,False,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{""value"": ""0"", ""count"": 6197863}, {""value"": ""1"", ""count"": 51211}]"
output_bit_register_65,uint8,6249074,0,0.0,6249074,0.0,1.0,0.008250342370725647,0.09045592419234606,2.0,False,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{""value"": ""0"", ""count"": 6197517}, {""value"": ""1"", ""count"": 51557}]"
output_bit_register_66,uint8,6249074,0,0.0,6249074,0.0,1.0,0.0006476159507792674,0.0254400578686363,2.0,False,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{""value"": ""0"", ""count"": 6245027}, {""value"": ""1"", ""count"": 4047}]"
output_bit_register_67,uint8,6249074,0,0.0,6249074,0.0,1.0,0.00032628834288088123,0.018060506050445575,2.0,False,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{""value"": ""0"", ""count"": 6247035}, {""value"": ""1"", ""count"": 2039}]"
output_bit_register_70,uint8,6249074,0,0.0,6249074,0.0,1.0,0.457963691900592,0.498229815247313,2.0,False,False,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[{""value"": ""0"", ""count"": 3387225}, {""value"": ""1"", ""count"": 2861849}]"
output_bit_register_71,uint8,6249074,0,0.0,6249074,0.0,0.0,0.0,0.0,1.0,False,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{""value"": ""0"", ""count"": 6249074}]"
output_bit_register_72,uint8,6249074,0,0.0,6249074,0.0,0.0,0.0,0.0,1.0,False,True,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{""value"": ""0"", ""count"": 6249074}]"
timestamp,float64,6249074,0,0.0,6249074,696.6039999999997,28511.93,11147.415883223655,7105.099915706954,,True,False,"[21182.84, 21182.85, 21182.86, 21182.87, 21182.88, 21182.89, 21182.9, 21182.91, 21182.92, 21182.93, 21182.94, 21182.95, 21182.96, 21182.97, 21182.98, 21182.99, 21183.0, 21183.01, 21183.02, 21183.03]",[]
target_q_0,float64,6249074,0,0.0,6249074,-1.627345,0.9210100000000004,-0.31939100316630364,0.537542991571917,,True,False,"[0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789, 0.1282922605501789]",[]
target_q_1,float64,6249074,0,0.0,6249074,-2.3998280000000003,-0.427257,-1.287153921193925,0.4586333539768671,,True,False,"[-0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985, -0.4303947262133985]",[]
target_q_2,float64,6249074,0,0.0,6249074,-2.4774950000000002,2.4462530000000005,0.3952417785879437,1.3811437700523697,,True,False,"[0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128, 0.3420495933916128]",[]
target_q_3,float64,6249074,0,0.0,6249074,-1.570813795129931,3.7814300000000003,0.9040151131122308,1.7293492466399736,,True,False,"[0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171, 0.08879945861848171]",[]
target_q_4,float64,6249074,0,0.0,6249074,-2.3863889999999994,2.6338760000000008,0.22991835683476952,1.0806436171130533,,True,False,"[2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713, 2.172628496889713]",[]
target_q_5,float64,6249074,0,0.0,6249074,-1.675167,4.291535048217554e-06,-1.5803938235998287,0.018259147662274156,,True,False,"[-1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997, -1.5721944259178997]",[]
target_qd_0,float64,6249074,0,0.0,6249074,-1.3090000000000008,1.3090000000000008,0.00031214562995118686,0.201225980510534,,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
target_qd_1,float64,6249074,0,0.0,6249074,-0.7884180901097448,0.7884180901097447,0.00013934001797552935,0.12943115525578694,,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
target_qd_2,float64,6249074,0,0.0,6249074,-1.9303748569334969,1.9303748569334969,0.0006833231636182324,0.40277955490307726,,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
target_qd_3,float64,6249074,0,0.0,6249074,-1.9890000000000008,1.9890000000000008,-0.0007396529924204454,0.4906772102891557,,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
target_qd_4,float64,6249074,0,0.0,6249074,-1.6335635988917203,1.6335635988917199,-0.0004132340908489736,0.3199188043761611,,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
target_qd_5,float64,6249074,0,0.0,6249074,-1.2669165665309872,0.1223172343760469,-5.236762505230532e-05,0.010804208598979521,,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
