column,normalized_column,dtype,block_name,block_column_index,id_terms,label_terms,time_terms,operation_terms
output_bit_register_64,output_bit_register_64,uint8,block0_values,0,,,,
output_bit_register_65,output_bit_register_65,uint8,block0_values,1,,,,
output_bit_register_66,output_bit_register_66,uint8,block0_values,2,,,,
output_bit_register_67,output_bit_register_67,uint8,block0_values,3,,,,
output_bit_register_70,output_bit_register_70,uint8,block0_values,4,,,,
output_bit_register_71,output_bit_register_71,uint8,block0_values,5,,,,
output_bit_register_72,output_bit_register_72,uint8,block0_values,6,,,,
timestamp,timestamp,float64,block1_values,0,,,"time,timestamp",
target_q_0,target_q_0,float64,block1_values,1,,,,
target_q_1,target_q_1,float64,block1_values,2,,,,
target_q_2,target_q_2,float64,block1_values,3,,,,
target_q_3,target_q_3,float64,block1_values,4,,,,
target_q_4,target_q_4,float64,block1_values,5,,,,
target_q_5,target_q_5,float64,block1_values,6,,,,
target_qd_0,target_qd_0,float64,block1_values,7,,,,
target_qd_1,target_qd_1,float64,block1_values,8,,,,
target_qd_2,target_qd_2,float64,block1_values,9,,,,
target_qd_3,target_qd_3,float64,block1_values,10,,,,
target_qd_4,target_qd_4,float64,block1_values,11,,,,
target_qd_5,target_qd_5,float64,block1_values,12,,,,
target_qdd_0,target_qdd_0,float64,block1_values,13,,,,
target_qdd_1,target_qdd_1,float64,block1_values,14,,,,
target_qdd_2,target_qdd_2,float64,block1_values,15,,,,
target_qdd_3,target_qdd_3,float64,block1_values,16,,,,
target_qdd_4,target_qdd_4,float64,block1_values,17,,,,
target_qdd_5,target_qdd_5,float64,block1_values,18,,,,
target_current_0,target_current_0,float64,block1_values,19,,,,
target_current_1,target_current_1,float64,block1_values,20,,,,
target_current_2,target_current_2,float64,block1_values,21,,,,
target_current_3,target_current_3,float64,block1_values,22,,,,
target_current_4,target_current_4,float64,block1_values,23,,,,
target_current_5,target_current_5,float64,block1_values,24,,,,
target_moment_0,target_moment_0,float64,block1_values,25,,,,
target_moment_1,target_moment_1,float64,block1_values,26,,,,
target_moment_2,target_moment_2,float64,block1_values,27,,,,
target_moment_3,target_moment_3,float64,block1_values,28,,,,
target_moment_4,target_moment_4,float64,block1_values,29,,,,
target_moment_5,target_moment_5,float64,block1_values,30,,,,
actual_q_0,actual_q_0,float64,block1_values,31,,,,
actual_q_1,actual_q_1,float64,block1_values,32,,,,
actual_q_2,actual_q_2,float64,block1_values,33,,,,
actual_q_3,actual_q_3,float64,block1_values,34,,,,
actual_q_4,actual_q_4,float64,block1_values,35,,,,
actual_q_5,actual_q_5,float64,block1_values,36,,,,
actual_qd_0,actual_qd_0,float64,block1_values,37,,,,
actual_qd_1,actual_qd_1,float64,block1_values,38,,,,
actual_qd_2,actual_qd_2,float64,block1_values,39,,,,
actual_qd_3,actual_qd_3,float64,block1_values,40,,,,
actual_qd_4,actual_qd_4,float64,block1_values,41,,,,
actual_qd_5,actual_qd_5,float64,block1_values,42,,,,
actual_current_0,actual_current_0,float64,block1_values,43,,,,
actual_current_1,actual_current_1,float64,block1_values,44,,,,
actual_current_2,actual_current_2,float64,block1_values,45,,,,
actual_current_3,actual_current_3,float64,block1_values,46,,,,
actual_current_4,actual_current_4,float64,block1_values,47,,,,
actual_current_5,actual_current_5,float64,block1_values,48,,,,
joint_control_output_0,joint_control_output_0,float64,block1_values,49,,,,
joint_control_output_1,joint_control_output_1,float64,block1_values,50,,,,
joint_control_output_2,joint_control_output_2,float64,block1_values,51,,,,
joint_control_output_3,joint_control_output_3,float64,block1_values,52,,,,
joint_control_output_4,joint_control_output_4,float64,block1_values,53,,,,
joint_control_output_5,joint_control_output_5,float64,block1_values,54,,,,
actual_TCP_pose_0,actual_tcp_pose_0,float64,block1_values,55,,,,
actual_TCP_pose_1,actual_tcp_pose_1,float64,block1_values,56,,,,
actual_TCP_pose_2,actual_tcp_pose_2,float64,block1_values,57,,,,
actual_TCP_pose_3,actual_tcp_pose_3,float64,block1_values,58,,,,
actual_TCP_pose_4,actual_tcp_pose_4,float64,block1_values,59,,,,
actual_TCP_pose_5,actual_tcp_pose_5,float64,block1_values,60,,,,
actual_TCP_speed_0,actual_tcp_speed_0,float64,block1_values,61,,,,
actual_TCP_speed_1,actual_tcp_speed_1,float64,block1_values,62,,,,
actual_TCP_speed_2,actual_tcp_speed_2,float64,block1_values,63,,,,
actual_TCP_speed_3,actual_tcp_speed_3,float64,block1_values,64,,,,
actual_TCP_speed_4,actual_tcp_speed_4,float64,block1_values,65,,,,
actual_TCP_speed_5,actual_tcp_speed_5,float64,block1_values,66,,,,
actual_TCP_force_0,actual_tcp_force_0,float64,block1_values,67,,,,
actual_TCP_force_1,actual_tcp_force_1,float64,block1_values,68,,,,
actual_TCP_force_2,actual_tcp_force_2,float64,block1_values,69,,,,
