sample_nr,label,label_name,unique_label_count,labels_json,has_single_label,row_count,first_global_row,last_global_row,contiguous_segment_count,rows_are_contiguous,first_timestamp,last_timestamp,minimum_timestamp,maximum_timestamp,duration_seconds,timestamp_decrease_count,timestamp_equal_count,positive_delta_count,timestamps_monotonic_nondecreasing,mean_positive_delta_seconds,std_positive_delta_seconds,minimum_positive_delta_seconds,maximum_positive_delta_seconds,estimated_sampling_rate_hz,runtime_state_count,runtime_states_json
1,5,supplementary_operation,1,[5],True,2004,0,2003,1,True,21182.84,21202.91,21182.84,21202.91,20.07,0,0,2003,True,0.0100199700449,0.00054694777747,0.0099999999984,0.0299999999988,99.8006975585,3,"[0, 1, 2]"
2,0,normal_tightening,1,[0],True,1355,2004,3358,1,True,21202.92,21216.62,21202.92,21216.62,13.7,0,0,1354,True,0.01011816839,0.001080610999,0.0099999999984,0.0200000000004,98.8321167883,2,"[1, 2]"
3,5,supplementary_operation,1,[5],True,1544,3359,4902,1,True,21216.63,21232.12,21216.63,21232.12,15.49,0,0,1543,True,0.0100388852884,0.00062236710893,0.0099999999984,0.0200000000004,99.6126533247,3,"[0, 1, 2]"
4,0,normal_tightening,1,[0],True,1249,4903,6151,1,True,21232.13,21244.63,21232.13,21244.63,12.5,0,0,1248,True,0.010016025641,0.000565911653373,0.0099999999984,0.0300000000025,99.84,3,"[0, 1, 2]"
5,5,supplementary_operation,1,[5],True,1520,6152,7671,1,True,21244.64,21259.83,21244.64,21259.83,15.19,0,0,1519,True,0.01,5.58308270214e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
6,0,normal_tightening,1,[0],True,1177,7672,8848,1,True,21259.84,21271.6,21259.84,21271.6,11.76,0,0,1176,True,0.01,1.13467620043e-09,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
7,5,supplementary_operation,1,[5],True,1440,8849,10288,1,True,21271.61,21286.01,21271.61,21286.01,14.4,0,0,1439,True,0.0100069492703,0.000263523074729,0.0099999999984,0.0200000000004,99.9305555556,3,"[0, 1, 2]"
8,0,normal_tightening,1,[0],True,1354,10289,11642,1,True,21286.02,21299.55,21286.02,21299.55,13.53,0,0,1353,True,0.01,9.24017971055e-10,0.0099999999984,0.010000000002,100,2,"[1, 2]"
9,5,supplementary_operation,1,[5],True,1427,11643,13069,1,True,21299.56,21313.82,21299.56,21313.82,14.26,0,0,1426,True,0.01,7.63386316167e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
10,0,normal_tightening,1,[0],True,1389,13070,14458,1,True,21313.83,21327.72,21313.83,21327.72,13.89,0,0,1388,True,0.010007204611,0.000268317355194,0.0099999999984,0.0200000000004,99.9280057595,3,"[0, 1, 2]"
11,5,supplementary_operation,1,[5],True,1462,14459,15920,1,True,21327.73,21342.36,21327.73,21342.36,14.63,0,0,1461,True,0.0100136892539,0.000369736586904,0.0099999999984,0.0200000000004,99.8632946001,3,"[0, 1, 2]"
12,0,normal_tightening,1,[0],True,1357,15921,17277,1,True,21342.37,21356.14,21342.37,21356.14,13.77,0,0,1356,True,0.0101548672566,0.00134895290873,0.0099999999984,0.0300000000025,98.4749455338,3,"[0, 1, 2]"
13,5,supplementary_operation,1,[5],True,1540,17278,18817,1,True,21356.15,21371.54,21356.15,21371.54,15.39,0,0,1539,True,0.01,4.65661287308e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
14,0,normal_tightening,1,[0],True,1269,18818,20086,1,True,21371.55,21384.3,21371.55,21384.3,12.75,0,0,1268,True,0.0100552050473,0.000840673291214,0.0099999999984,0.0299999999988,99.4509803922,3,"[0, 1, 2]"
