object_path,object_type,attribute_name,attribute_value
/,file,CLASS,"""GROUP"""
/,file,PYTABLES_FORMAT_VERSION,"""2.1"""
/,file,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/,file,VERSION,"""1.0"""
/complete_data,group,CLASS,"""GROUP"""
/complete_data,group,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data,group,VERSION,"""1.0"""
/complete_data,group,axis0_variety,"""regular"""
/complete_data,group,axis1_variety,"""regular"""
/complete_data,group,block0_items_variety,"""regular"""
/complete_data,group,block1_items_variety,"""regular"""
/complete_data,group,block2_items_variety,"""regular"""
/complete_data,group,block3_items_variety,"""regular"""
/complete_data,group,encoding,"""UTF-8"""
/complete_data,group,errors,"""strict"""
/complete_data,group,nblocks,4
/complete_data,group,ndim,2
/complete_data,group,pandas_type,"""frame"""
/complete_data,group,pandas_version,"""0.15.2"""
/complete_data/axis0,dataset,CLASS,"""ARRAY"""
/complete_data/axis0,dataset,FLAVOR,"""numpy"""
/complete_data/axis0,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/axis0,dataset,VERSION,"""2.4"""
/complete_data/axis0,dataset,kind,"""string"""
/complete_data/axis0,dataset,name,"""N."""
/complete_data/axis0,dataset,transposed,1
/complete_data/axis1,dataset,CLASS,"""ARRAY"""
/complete_data/axis1,dataset,FLAVOR,"""numpy"""
/complete_data/axis1,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/axis1,dataset,VERSION,"""2.4"""
/complete_data/axis1,dataset,kind,"""integer"""
/complete_data/axis1,dataset,name,"""N."""
/complete_data/axis1,dataset,transposed,1
/complete_data/block0_items,dataset,CLASS,"""ARRAY"""
/complete_data/block0_items,dataset,FLAVOR,"""numpy"""
/complete_data/block0_items,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block0_items,dataset,VERSION,"""2.4"""
/complete_data/block0_items,dataset,kind,"""string"""
/complete_data/block0_items,dataset,name,"""N."""
/complete_data/block0_items,dataset,transposed,1
/complete_data/block0_values,dataset,CLASS,"""ARRAY"""
/complete_data/block0_values,dataset,FLAVOR,"""numpy"""
/complete_data/block0_values,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block0_values,dataset,VERSION,"""2.4"""
/complete_data/block0_values,dataset,transposed,1
/complete_data/block1_items,dataset,CLASS,"""ARRAY"""
/complete_data/block1_items,dataset,FLAVOR,"""numpy"""
/complete_data/block1_items,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block1_items,dataset,VERSION,"""2.4"""
/complete_data/block1_items,dataset,kind,"""string"""
/complete_data/block1_items,dataset,name,"""N."""
/complete_data/block1_items,dataset,transposed,1
/complete_data/block1_values,dataset,CLASS,"""ARRAY"""
/complete_data/block1_values,dataset,FLAVOR,"""numpy"""
/complete_data/block1_values,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block1_values,dataset,VERSION,"""2.4"""
/complete_data/block1_values,dataset,transposed,1
/complete_data/block2_items,dataset,CLASS,"""ARRAY"""
/complete_data/block2_items,dataset,FLAVOR,"""numpy"""
/complete_data/block2_items,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block2_items,dataset,VERSION,"""2.4"""
/complete_data/block2_items,dataset,kind,"""string"""
/complete_data/block2_items,dataset,name,"""N."""
/complete_data/block2_items,dataset,transposed,1
/complete_data/block2_values,dataset,CLASS,"""ARRAY"""
/complete_data/block2_values,dataset,FLAVOR,"""numpy"""
/complete_data/block2_values,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block2_values,dataset,VERSION,"""2.4"""
/complete_data/block2_values,dataset,transposed,1
/complete_data/block3_items,dataset,CLASS,"""ARRAY"""
/complete_data/block3_items,dataset,FLAVOR,"""numpy"""
/complete_data/block3_items,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block3_items,dataset,VERSION,"""2.4"""
/complete_data/block3_items,dataset,kind,"""string"""
/complete_data/block3_items,dataset,name,"""N."""
/complete_data/block3_items,dataset,transposed,1
/complete_data/block3_values,dataset,CLASS,"""ARRAY"""
/complete_data/block3_values,dataset,FLAVOR,"""numpy"""
/complete_data/block3_values,dataset,TITLE,"{""__h5py_type__"": ""Empty"", ""repr"": ""Empty(dtype=dtype('S1'))""}"
/complete_data/block3_values,dataset,VERSION,"""2.4"""
/complete_data/block3_values,dataset,transposed,1
