path,name,object_type,parent_path,shape,ndim,dtype,size,compression,chunks,attribute_count,preview,minimum_preview,maximum_preview,unique_preview,preview_error
/,/,file,,,,,,,,4,,,,,
/complete_data,complete_data,group,/,,,,,,,15,,,,,
/complete_data/axis0,axis0,dataset,/complete_data,[134],1,|S27,134,,,7,"[""sample_nr"", ""timestamp"", ""target_q_0"", ""target_q_1"", ""target_q_2"", ""target_q_3"", ""target_q_4"", ""target_q_5"", ""target_qd_0"", ""target_qd_1"", ""target_qd_2"", ""target_qd_3"", ""target_qd_4"", ""target_qd_5"", ""target_qdd_0"", ""target_qdd_1"", ""target_qdd_2"", ""target_qdd_3"", ""target_qdd_4"", ""target_qdd_5""]",,,"[""sample_nr"", ""target_q_0"", ""target_q_1"", ""target_q_2"", ""target_q_3"", ""target_q_4"", ""target_q_5"", ""target_qd_0"", ""target_qd_1"", ""target_qd_2"", ""target_qd_3"", ""target_qd_4"", ""target_qd_5"", ""target_qdd_0"", ""target_qdd_1"", ""target_qdd_2"", ""target_qdd_3"", ""target_qdd_4"", ""target_qdd_5"", ""timestamp""]",
/complete_data/axis1,axis1,dataset,/complete_data,[6249074],1,int64,6249074,,,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.0,19.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",
/complete_data/block0_items,block0_items,dataset,/complete_data,[7],1,|S22,7,,,7,"[""output_bit_register_64"", ""output_bit_register_65"", ""output_bit_register_66"", ""output_bit_register_67"", ""output_bit_register_70"", ""output_bit_register_71"", ""output_bit_register_72""]",,,"[""output_bit_register_64"", ""output_bit_register_65"", ""output_bit_register_66"", ""output_bit_register_67"", ""output_bit_register_70"", ""output_bit_register_71"", ""output_bit_register_72""]",
/complete_data/block0_values,block0_values,dataset,/complete_data,"[6249074, 7]",2,uint8,43743518,,,5,"[0, 0, 0, 0]",0.0,0.0,[0],
/complete_data/block1_items,block1_items,dataset,/complete_data,[111],1,|S27,111,,,7,"[""timestamp"", ""target_q_0"", ""target_q_1"", ""target_q_2"", ""target_q_3"", ""target_q_4"", ""target_q_5"", ""target_qd_0"", ""target_qd_1"", ""target_qd_2"", ""target_qd_3"", ""target_qd_4"", ""target_qd_5"", ""target_qdd_0"", ""target_qdd_1"", ""target_qdd_2"", ""target_qdd_3"", ""target_qdd_4"", ""target_qdd_5"", ""target_current_0""]",,,"[""target_current_0"", ""target_q_0"", ""target_q_1"", ""target_q_2"", ""target_q_3"", ""target_q_4"", ""target_q_5"", ""target_qd_0"", ""target_qd_1"", ""target_qd_2"", ""target_qd_3"", ""target_qd_4"", ""target_qd_5"", ""target_qdd_0"", ""target_qdd_1"", ""target_qdd_2"", ""target_qdd_3"", ""target_qdd_4"", ""target_qdd_5"", ""timestamp""]",
/complete_data/block1_values,block1_values,dataset,/complete_data,"[6249074, 111]",2,float64,693647214,,,5,"[21182.84, 0.1282922605501789, 21182.85, 0.1282922605501789]",0.1282922605501789,21182.85,"[0.1282922605501789, 21182.84, 21182.85]",
/complete_data/block2_items,block2_items,dataset,/complete_data,[15],1,|S26,15,,,7,"[""actual_digital_input_bits"", ""robot_mode"", ""joint_mode_0"", ""joint_mode_1"", ""joint_mode_2"", ""joint_mode_3"", ""joint_mode_4"", ""joint_mode_5"", ""safety_mode"", ""actual_digital_output_bits"", ""runtime_state"", ""output_int_register_24"", ""output_int_register_25"", ""output_int_register_26"", ""label""]",,,"[""actual_digital_input_bits"", ""actual_digital_output_bits"", ""joint_mode_0"", ""joint_mode_1"", ""joint_mode_2"", ""joint_mode_3"", ""joint_mode_4"", ""joint_mode_5"", ""label"", ""output_int_register_24"", ""output_int_register_25"", ""output_int_register_26"", ""robot_mode"", ""runtime_state"", ""safety_mode""]",
/complete_data/block2_values,block2_values,dataset,/complete_data,"[6249074, 15]",2,int64,93736110,,,5,"[0, 7, 0, 7]",0.0,7.0,"[0, 7]",
/complete_data/block3_items,block3_items,dataset,/complete_data,[1],1,|S9,1,,,7,"[""sample_nr""]",,,"[""sample_nr""]",
/complete_data/block3_values,block3_values,dataset,/complete_data,"[6249074, 1]",2,int32,6249074,,,5,"[1, 1]",1.0,1.0,[1],
