partition,seed,commissioning_n,label,label_name,execution_count,total_rows
anomaly_eval,-1,-1,1,damaged_screw,221,340822
anomaly_eval,-1,-1,2,extra_component,183,283212
anomaly_eval,-1,-1,3,missing_screw,218,291419
anomaly_eval,-1,-1,4,damaged_thread,3,4008
calibration,-1,-1,0,normal_tightening,600,930908
commissioning,0,10,0,normal_tightening,10,15476
commissioning,0,25,0,normal_tightening,25,37965
commissioning,0,50,0,normal_tightening,50,78859
commissioning,0,100,0,normal_tightening,100,155845
commissioning,0,250,0,normal_tightening,250,390529
commissioning,0,500,0,normal_tightening,500,780653
commissioning,1,10,0,normal_tightening,10,14855
commissioning,1,25,0,normal_tightening,25,39237
commissioning,1,50,0,normal_tightening,50,76778
commissioning,1,100,0,normal_tightening,100,154183
commissioning,1,250,0,normal_tightening,250,388666
commissioning,1,500,0,normal_tightening,500,780977
commissioning,2,10,0,normal_tightening,10,14252
commissioning,2,25,0,normal_tightening,25,37526
commissioning,2,50,0,normal_tightening,50,77378
commissioning,2,100,0,normal_tightening,100,153593
commissioning,2,250,0,normal_tightening,250,388846
commissioning,2,500,0,normal_tightening,500,781410
commissioning,3,10,0,normal_tightening,10,15128
commissioning,3,25,0,normal_tightening,25,39105
commissioning,3,50,0,normal_tightening,50,77916
commissioning,3,100,0,normal_tightening,100,157016
commissioning,3,250,0,normal_tightening,250,393092
commissioning,3,500,0,normal_tightening,500,780575
commissioning,4,10,0,normal_tightening,10,16172
commissioning,4,25,0,normal_tightening,25,40071
commissioning,4,50,0,normal_tightening,50,78889
commissioning,4,100,0,normal_tightening,100,158156
commissioning,4,250,0,normal_tightening,250,392072
commissioning,4,500,0,normal_tightening,500,781625
commissioning,5,10,0,normal_tightening,10,15557
commissioning,5,25,0,normal_tightening,25,38458
commissioning,5,50,0,normal_tightening,50,77669
commissioning,5,100,0,normal_tightening,100,153200
commissioning,5,250,0,normal_tightening,250,385428
commissioning,5,500,0,normal_tightening,500,779074
commissioning,6,10,0,normal_tightening,10,16051
commissioning,6,25,0,normal_tightening,25,38631
commissioning,6,50,0,normal_tightening,50,77038
commissioning,6,100,0,normal_tightening,100,155592
commissioning,6,250,0,normal_tightening,250,388980
commissioning,6,500,0,normal_tightening,500,780273
commissioning,7,10,0,normal_tightening,10,15605
commissioning,7,25,0,normal_tightening,25,39405
commissioning,7,50,0,normal_tightening,50,77468
commissioning,7,100,0,normal_tightening,100,156790
commissioning,7,250,0,normal_tightening,250,390300
commissioning,7,500,0,normal_tightening,500,779671
commissioning,8,10,0,normal_tightening,10,15789
commissioning,8,25,0,normal_tightening,25,39712
commissioning,8,50,0,normal_tightening,50,77934
commissioning,8,100,0,normal_tightening,100,155896
commissioning,8,250,0,normal_tightening,250,392922
commissioning,8,500,0,normal_tightening,500,781521
commissioning,9,10,0,normal_tightening,10,14961
commissioning,9,25,0,normal_tightening,25,38317
commissioning,9,50,0,normal_tightening,50,77784
commissioning,9,100,0,normal_tightening,100,153827
commissioning,9,250,0,normal_tightening,250,387113
commissioning,9,500,0,normal_tightening,500,779040
commissioning,10,10,0,normal_tightening,10,16174
commissioning,10,25,0,normal_tightening,25,39795
commissioning,10,50,0,normal_tightening,50,79055
commissioning,10,100,0,normal_tightening,100,157843
commissioning,10,250,0,normal_tightening,250,390325
commissioning,10,500,0,normal_tightening,500,781472
commissioning,11,10,0,normal_tightening,10,15287
commissioning,11,25,0,normal_tightening,25,37504
commissioning,11,50,0,normal_tightening,50,77632
commissioning,11,100,0,normal_tightening,100,155531
commissioning,11,250,0,normal_tightening,250,389289
commissioning,11,500,0,normal_tightening,500,781995
commissioning,12,10,0,normal_tightening,10,15830
commissioning,12,25,0,normal_tightening,25,38038
commissioning,12,50,0,normal_tightening,50,76349
commissioning,12,100,0,normal_tightening,100,153509
commissioning,12,250,0,normal_tightening,250,387464
commissioning,12,500,0,normal_tightening,500,780064
commissioning,13,10,0,normal_tightening,10,15238
commissioning,13,25,0,normal_tightening,25,39389
commissioning,13,50,0,normal_tightening,50,78391
commissioning,13,100,0,normal_tightening,100,155547
commissioning,13,250,0,normal_tightening,250,390928
commissioning,13,500,0,normal_tightening,500,781079
commissioning,14,10,0,normal_tightening,10,15917
commissioning,14,25,0,normal_tightening,25,39049
commissioning,14,50,0,normal_tightening,50,77989
commissioning,14,100,0,normal_tightening,100,155922
commissioning,14,250,0,normal_tightening,250,387977
commissioning,14,500,0,normal_tightening,500,781196
commissioning,15,10,0,normal_tightening,10,15416
commissioning,15,25,0,normal_tightening,25,39496
commissioning,15,50,0,normal_tightening,50,76724
commissioning,15,100,0,normal_tightening,100,156381
commissioning,15,250,0,normal_tightening,250,385595
commissioning,15,500,0,normal_tightening,500,780370
commissioning,16,10,0,normal_tightening,10,15340
